Entry,Player,Cty,M,Pts,Hld%,Brk%,A,Ace%,DF,DF%,1stIn,1st%,2nd%,SPW,BPFaced,BPSvd%,RPW,BPEarned,BPConv%,TPW,DR,Time
Seed or method of entry (Q/LL/WC/etc),,Country,Matches played,Total points played,Hold percentage,Break percentage,Aces,Ace rate,Double faults,Double fault rate,First serve percentage,First serve points won,Second serve points won,Service points won,Total break points faced,Percentage of break points saved,Return points won,Total break points generated,,Total points won,"Dominance Ratio: % of return points won
divided by % of serve points lost.",
2,Andy Roddick,USA,6,1084,94.6%,29.2%,107,20.5%,15,2.9%,65.1%,83.5%,57.7%,74.5%,27,81.5%,40.0%,56,46.4%,56.6%,1.57,10:36
28,Mario Ancic,CRO,3,552,88.9%,31.8%,28,10.8%,10,3.8%,65.0%,79.3%,54.9%,70.8%,12,58.3%,42.5%,33,42.4%,55.8%,1.45,6:24
1,Roger Federer,SUI,6,1207,91.5%,30.4%,66,11.7%,14,2.5%,62.5%,78.8%,57.5%,70.8%,33,75.8%,42.0%,64,43.8%,55.5%,1.44,12:14
8,Andre Agassi,USA,5,998,86.7%,32.1%,35,7.8%,14,3.1%,62.2%,77.1%,58.8%,70.2%,28,64.3%,41.8%,66,37.9%,54.6%,1.40,9:14
4,Marat Safin,RUS,7,1591,89.0%,26.6%,99,13.0%,7,0.9%,58.1%,78.5%,57.2%,69.6%,38,63.2%,40.7%,80,42.5%,54.5%,1.34,17:45
,Philipp Kohlschreiber,GER,4,601,88.9%,31.9%,12,4.2%,7,2.4%,58.8%,76.5%,57.1%,68.5%,17,70.6%,42.3%,33,45.5%,54.9%,1.34,6:23
,Peter Wessels,NED,2,345,86.7%,13.3%,14,8.8%,3,1.9%,62.9%,80.0%,64.4%,74.2%,7,42.9%,34.4%,8,50.0%,52.8%,1.33,3:14
12,Guillermo Canas,ARG,4,753,79.7%,36.2%,20,5.6%,13,3.7%,61.6%,71.6%,55.9%,65.5%,30,60.0%,45.1%,52,40.4%,54.7%,1.31,8:34
,Rafael Nadal,ESP,4,864,80.6%,42.3%,8,1.8%,9,2.0%,69.8%,69.3%,52.2%,64.1%,36,61.1%,44.9%,56,53.6%,54.7%,1.25,10:27
,Jan Hernych,CZE,2,527,77.5%,30.8%,5,2.0%,5,2.0%,66.7%,69.3%,56.6%,65.1%,18,50.0%,42.8%,29,41.4%,53.3%,1.23,5:43
16,Tommy Haas,GER,2,475,83.8%,28.9%,23,10.1%,9,4.0%,54.6%,72.6%,59.2%,66.5%,17,64.7%,40.3%,28,39.3%,52.8%,1.20,5:19
26,Nikolay Davydenko,RUS,5,867,83.8%,36.8%,29,6.8%,15,3.5%,63.2%,70.1%,53.8%,64.1%,27,59.3%,43.2%,57,43.9%,53.5%,1.20,9:29
15,Mikhail Youzhny,RUS,2,451,76.3%,28.9%,10,4.8%,5,2.4%,54.3%,71.7%,57.9%,65.4%,15,40.0%,41.2%,21,52.4%,52.3%,1.19,5:04
Q,Marcos Baghdatis,CYP,4,909,84.3%,24.3%,33,7.5%,9,2.0%,55.3%,73.4%,59.4%,67.1%,33,66.7%,38.7%,45,37.8%,52.5%,1.18,9:18
25,Juan Ignacio Chela,ARG,3,637,84.0%,13.7%,9,3.0%,5,1.7%,70.6%,73.4%,61.8%,70.0%,25,68.0%,34.7%,15,46.7%,51.5%,1.16,6:37
20,Dominik Hrbaty,SVK,5,1083,78.3%,32.5%,42,7.9%,22,4.2%,56.6%,73.3%,48.7%,62.6%,46,60.9%,42.9%,56,48.2%,52.5%,1.15,11:13
3,Lleyton Hewitt,AUS,7,1731,82.5%,26.5%,83,9.7%,34,4.0%,56.1%,77.8%,49.7%,65.5%,60,60.0%,39.5%,93,38.7%,52.3%,1.14,20:17
9,David Nalbandian,ARG,5,1424,75.5%,37.4%,21,3.0%,20,2.9%,62.3%,69.7%,46.5%,61.0%,76,65.8%,44.4%,93,43.0%,52.4%,1.14,16:48
,Jarkko Nieminen,FIN,3,463,77.5%,33.3%,9,3.8%,6,2.5%,66.7%,66.9%,56.3%,63.3%,17,47.1%,41.3%,20,65.0%,52.7%,1.13,4:35
6,Guillermo Coria,ARG,4,897,67.2%,48.5%,15,3.4%,12,2.7%,63.0%,65.2%,43.2%,57.1%,39,46.2%,48.4%,68,47.1%,52.6%,1.13,11:00
7,Tim Henman,GBR,3,595,80.0%,29.5%,16,5.4%,11,3.7%,62.3%,70.3%,51.8%,63.3%,33,72.7%,40.6%,31,41.9%,51.9%,1.11,6:33
LL,Christophe Rochus,BEL,2,347,74.1%,29.6%,7,4.3%,2,1.2%,65.9%,66.7%,50.0%,61.0%,12,41.7%,43.2%,19,42.1%,51.6%,1.11,3:11
,Ricardo Mello,BRA,2,543,64.9%,36.1%,13,5.1%,9,3.5%,63.7%,67.5%,43.0%,58.6%,29,55.2%,45.6%,29,44.8%,51.7%,1.10,6:25
,Olivier Rochus,BEL,4,1053,87.0%,29.9%,6,1.1%,12,2.3%,60.9%,71.6%,50.5%,63.3%,49,79.6%,40.3%,54,42.6%,51.9%,1.10,12:14
30,Thomas Johansson,SWE,4,1076,82.4%,20.9%,70,13.4%,19,3.6%,54.8%,77.4%,52.3%,66.0%,29,48.3%,37.0%,42,42.9%,51.1%,1.09,11:27
14,Sebastien Grosjean,FRA,2,478,70.3%,38.9%,14,5.3%,8,3.0%,60.6%,66.9%,43.3%,57.6%,29,62.1%,46.3%,22,63.6%,52.5%,1.09,5:22
24,Feliciano Lopez,ESP,3,853,90.0%,17.4%,62,14.5%,16,3.7%,59.0%,79.8%,54.3%,69.3%,28,75.0%,33.6%,31,38.7%,51.5%,1.09,8:34
11,Joachim Johansson,SWE,4,1051,93.0%,14.0%,127,24.1%,21,4.0%,62.5%,78.5%,60.1%,71.6%,27,77.8%,30.8%,30,40.0%,51.3%,1.08,10:17
,Alex Calatrava,ESP,1,308,83.3%,12.5%,6,4.3%,5,3.5%,58.2%,75.6%,55.9%,67.4%,9,55.6%,35.3%,13,23.1%,50.0%,1.08,3:44
10,Gaston Gaudio,ARG,3,854,71.0%,27.0%,18,4.3%,24,5.8%,58.1%,72.2%,46.6%,61.4%,38,52.6%,41.5%,40,42.5%,51.2%,1.08,9:36
,James Blake,USA,2,391,76.7%,35.7%,14,6.5%,12,5.5%,53.5%,69.0%,53.5%,61.8%,19,63.2%,40.8%,17,58.8%,52.4%,1.07,3:45
,Max Mirnyi,BLR,1,311,80.8%,15.4%,16,10.7%,4,2.7%,69.1%,76.7%,47.8%,67.8%,7,28.6%,34.6%,8,50.0%,50.5%,1.07,3:19
13,Tommy Robredo,ESP,3,670,73.1%,31.4%,24,7.3%,16,4.9%,60.7%,72.4%,43.4%,61.0%,32,56.3%,41.2%,37,43.2%,50.9%,1.06,6:59
18,Nicolas Massu,CHI,2,343,80.0%,16.7%,9,5.6%,8,4.9%,55.6%,76.7%,51.4%,65.4%,15,66.7%,36.5%,18,22.2%,50.1%,1.05,4:31
,Karol Beck,SVK,3,755,77.8%,25.5%,35,9.4%,27,7.2%,50.7%,77.2%,46.2%,61.9%,47,74.5%,39.8%,42,33.3%,50.7%,1.05,8:26
,Robby Ginepri,USA,1,256,78.9%,21.1%,3,2.3%,3,2.3%,63.1%,65.9%,60.4%,63.8%,8,50.0%,38.1%,5,80.0%,51.2%,1.05,2:15
,Mariano Zabaleta,ARG,2,381,70.0%,20.0%,10,5.9%,12,7.1%,60.6%,75.7%,49.3%,65.3%,18,50.0%,36.5%,20,30.0%,49.3%,1.05,4:02
,Fernando Verdasco,ESP,2,385,67.7%,36.7%,7,3.7%,8,4.3%,61.7%,61.2%,54.2%,58.5%,20,50.0%,43.7%,29,37.9%,50.9%,1.05,4:15
17,Andrei Pavel,ROU,2,339,74.1%,29.6%,14,8.1%,7,4.0%,69.4%,70.8%,41.5%,61.8%,13,46.2%,39.8%,18,44.4%,51.0%,1.04,3:17
29,Taylor Dent,USA,3,554,64.4%,46.5%,16,5.4%,33,11.1%,64.6%,68.8%,32.4%,55.9%,39,59.0%,45.5%,36,55.6%,51.1%,1.03,5:12
23,Fernando Gonzalez,CHI,3,793,80.0%,20.7%,20,4.9%,20,4.9%,62.2%,71.0%,50.3%,63.2%,39,69.2%,37.4%,46,26.1%,50.6%,1.02,8:24
Q,Tomas Zib,CZE,2,448,66.7%,36.4%,7,3.1%,4,1.7%,59.0%,61.5%,50.0%,56.8%,22,50.0%,44.3%,24,50.0%,50.7%,1.02,5:06
,Kevin Kim,USA,3,739,81.0%,22.8%,32,8.9%,11,3.0%,61.5%,73.0%,47.5%,63.2%,26,57.7%,37.6%,37,35.1%,50.1%,1.02,7:46
22,Ivan Ljubicic,CRO,2,411,88.6%,14.3%,34,16.1%,3,1.4%,62.1%,77.9%,56.3%,69.7%,15,73.3%,31.0%,15,33.3%,50.9%,1.02,4:22
,Mardy Fish,USA,2,589,76.1%,28.3%,36,12.1%,14,4.7%,51.3%,73.9%,47.6%,61.1%,23,52.2%,39.5%,27,48.1%,50.4%,1.02,6:23
Q,Oliver Marach,AUT,1,386,73.1%,18.5%,8,4.6%,7,4.0%,54.0%,70.2%,48.8%,60.3%,18,61.1%,40.1%,27,18.5%,49.2%,1.01,4:45
Q,Melle Van Gemerden,NED,1,232,72.2%,21.1%,4,3.5%,2,1.8%,53.5%,72.1%,49.1%,61.4%,12,58.3%,39.0%,8,50.0%,50.0%,1.01,2:05
31,Juan Carlos Ferrero,ESP,3,530,69.0%,37.5%,5,1.8%,5,1.8%,67.5%,63.5%,45.1%,57.5%,25,48.0%,42.4%,31,48.4%,50.4%,1.00,5:31
,Jose Acasuso,ARG,1,306,79.2%,16.7%,13,8.7%,4,2.7%,57.3%,69.8%,56.3%,64.0%,16,68.8%,35.9%,14,28.6%,49.7%,1.00,3:18
19,Vincent Spadea,USA,1,323,84.6%,7.7%,3,1.9%,5,3.1%,64.8%,68.0%,64.3%,66.7%,13,69.2%,32.9%,11,18.2%,49.5%,0.99,3:33
LL,Bjorn Phau,GER,2,390,63.0%,30.0%,8,4.5%,9,5.1%,55.7%,62.2%,52.6%,58.0%,19,47.4%,41.1%,22,40.9%,48.7%,0.98,4:32
Q,Bobby Reynolds,USA,3,634,75.0%,20.4%,34,11.0%,16,5.2%,59.2%,71.0%,50.8%,62.8%,29,58.6%,36.3%,31,32.3%,49.2%,0.98,6:26
,Sargis Sargsian,ARM,2,556,72.7%,22.7%,14,5.1%,13,4.8%,67.0%,70.5%,44.4%,61.9%,23,47.8%,37.5%,20,50.0%,49.5%,0.98,5:59
,David Ferrer,ESP,1,336,64.0%,34.6%,4,2.5%,4,2.5%,61.3%,60.0%,49.2%,55.8%,26,65.4%,42.8%,22,40.9%,49.1%,0.97,3:45
,Rainer Schuettler,GER,2,355,72.0%,15.4%,12,7.0%,10,5.8%,58.1%,73.0%,45.8%,61.6%,19,63.2%,37.2%,15,26.7%,49.0%,0.97,3:30
,Potito Starace,ITA,1,243,68.4%,22.2%,7,5.4%,2,1.5%,74.6%,61.9%,57.6%,60.8%,19,68.4%,38.1%,7,57.1%,50.2%,0.97,2:24
,Michal Tabara,CZE,2,391,56.7%,40.6%,16,8.4%,20,10.5%,40.3%,66.2%,43.0%,52.4%,27,51.9%,46.0%,29,44.8%,49.1%,0.97,3:50
,Bohdan Ulihrach,CZE,2,401,82.4%,15.2%,8,4.0%,8,4.0%,64.2%,73.6%,55.6%,67.2%,11,45.5%,31.5%,17,29.4%,49.4%,0.96,3:49
,Gregory Carraz,FRA,2,522,79.5%,17.9%,38,15.0%,15,5.9%,59.4%,75.5%,45.6%,63.4%,19,57.9%,35.1%,23,30.4%,48.9%,0.96,5:33
,David Sanchez,ESP,1,293,73.9%,29.2%,7,4.7%,3,2.0%,64.4%,64.6%,52.8%,60.4%,8,25.0%,38.2%,11,63.6%,49.5%,0.96,3:18
,Nicolas Almagro,ESP,1,321,87.0%,13.0%,16,9.8%,3,1.8%,55.5%,74.7%,53.4%,65.2%,19,84.2%,33.1%,8,37.5%,49.5%,0.95,3:10
Q,Jean Rene Lisnard,MON,3,867,70.3%,27.0%,11,2.5%,28,6.4%,51.1%,66.5%,47.2%,57.1%,46,58.7%,40.3%,44,38.6%,48.8%,0.94,10:16
Q,Daniele Bracciali,ITA,1,278,75.0%,20.0%,12,8.8%,6,4.4%,42.3%,72.4%,53.2%,61.3%,7,28.6%,36.2%,9,44.4%,48.6%,0.93,2:55
21,Nicolas Kiefer,GER,1,287,69.6%,26.1%,16,11.3%,8,5.7%,58.2%,62.2%,50.8%,57.4%,17,58.8%,39.0%,17,35.3%,48.1%,0.92,3:33
,Victor Hanescu,ROU,2,386,80.0%,13.3%,14,6.7%,1,0.5%,69.2%,61.8%,67.2%,63.5%,26,76.9%,33.7%,13,30.8%,49.7%,0.92,3:55
,Flavio Saretta,BRA,1,216,56.3%,25.0%,4,3.8%,4,3.8%,66.3%,62.3%,42.9%,55.8%,12,41.7%,40.2%,14,28.6%,47.7%,0.91,2:10
Q,Takao Suzuki,JPN,2,356,85.7%,17.2%,17,9.1%,4,2.2%,65.6%,65.6%,64.1%,65.1%,13,69.2%,31.8%,10,50.0%,49.2%,0.91,3:40
WC,Nathan Healey,AUS,2,381,73.3%,25.8%,19,10.0%,13,6.8%,54.2%,69.9%,48.3%,60.0%,21,61.9%,36.1%,13,61.5%,48.0%,0.90,3:55
,Jonas Bjorkman,SWE,1,250,72.2%,16.7%,1,0.8%,8,6.2%,56.2%,67.1%,49.1%,59.2%,13,61.5%,36.7%,10,30.0%,48.4%,0.90,2:43
,Radek Stepanek,CZE,3,758,76.3%,21.7%,22,5.7%,15,3.9%,59.1%,71.9%,43.0%,60.1%,37,62.2%,35.8%,33,39.4%,48.2%,0.90,8:36
,Juan Monaco,ARG,1,323,72.0%,20.0%,6,3.7%,2,1.2%,68.7%,59.8%,56.9%,58.9%,16,56.3%,36.9%,11,45.5%,48.0%,0.90,3:23
,Agustin Calleri,ARG,2,602,80.8%,19.6%,30,9.4%,16,5.0%,58.1%,72.6%,53.7%,64.7%,20,50.0%,31.9%,15,66.7%,49.3%,0.90,6:34
27,Paradorn Srichaphan,THA,2,408,74.2%,18.2%,14,7.4%,6,3.2%,61.4%,67.2%,50.7%,60.8%,12,33.3%,35.2%,22,27.3%,47.1%,0.90,4:10
