Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time,WinnerPeakRank
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,,Winner's peak ATP rank
F,1,(1)Novak Djokovic[SRB] [yr|ev],d.,3,(3)Andy Murray[GBR] [yr|ev],6-7(2) 7-6(3) 6-3 6-2,1.16,6.0%,62.7%,75.0%,66.0%,4/4,5.3%,61.8%,79.0%,48.0%,8/11,3:40,1
SF,1,(1)Novak Djokovic[SRB] [yr|ev],d.,5,(4)David Ferrer[ESP] [yr|ev],6-2 6-2 6-1,3.98,11.8%,62.7%,90.6%,78.9%,0/0,1.3%,60.0%,55.6%,30.0%,0/7,1:29,1
SF,3,(3)Andy Murray[GBR] [yr|ev],d.,2,(2)Roger Federer[SUI] [yr|ev],6-4 6-7(5) 6-3 6-7(2) 6-2,1.32,13.4%,63.7%,75.0%,63.2%,4/6,2.9%,62.0%,72.6%,43.1%,10/16,4:00,1
QF,1,(1)Novak Djokovic[SRB] [yr|ev],d.,6,(5)Tomas Berdych[CZE] [yr|ev],6-1 4-6 6-1 6-4,1.64,10.3%,67.0%,78.5%,62.5%,3/4,7.5%,59.8%,65.6%,41.9%,8/14,2:31,1
QF,5,(4)David Ferrer[ESP] [yr|ev],d.,11,(10)Nicolas Almagro[ESP] [yr|ev],4-6 4-6 7-5 7-6(4) 6-2,1.17,10.7%,69.1%,71.8%,50.0%,5/12,9.0%,46.4%,72.7%,47.2%,13/21,3:44,3
QF,3,(3)Andy Murray[GBR] [yr|ev],d.,36,Jeremy Chardy[FRA] [yr|ev],6-4 6-1 6-2,1.48,9.3%,68.0%,80.4%,29.2%,3/5,7.8%,67.5%,59.6%,20.0%,3/11,1:51,1
QF,2,(2)Roger Federer[SUI] [yr|ev],d.,8,(7)Jo-Wilfried Tsonga[FRA] [yr|ev],7-6(4) 4-6 7-6(4) 3-6 6-3,1.11,3.8%,62.0%,77.6%,55.0%,4/9,11.4%,66.9%,75.2%,46.6%,14/18,3:34,1
R16,1,(1)Novak Djokovic[SRB] [yr|ev],d.,17,(15)Stan Wawrinka[SUI] [yr|ev],1-6 7-5 6-4 6-7(5) 12-10,1.10,3.6%,66.2%,71.3%,54.5%,11/18,7.5%,62.1%,68.4%,51.9%,8/15,5:02,1
R16,6,(5)Tomas Berdych[CZE] [yr|ev],d.,31,Kevin Anderson[RSA] [yr|ev],6-3 6-2 7-6(13),1.28,6.3%,51.8%,79.3%,53.7%,5/7,9.9%,69.4%,64.9%,41.2%,7/12,2:44,4
R16,5,(4)David Ferrer[ESP] [yr|ev],d.,18,(16)Kei Nishikori[JPN] [yr|ev],6-2 6-1 6-4,1.46,6.3%,67.7%,69.2%,48.4%,11/13,1.1%,61.1%,53.4%,32.4%,4/11,2:10,3
