Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time,WinnerPeakRank
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,,Winner's peak ATP rank
F,1,(1)Novak Djokovic[SRB] [yr|ev],d.,2,(2)Andy Murray[GBR] [yr|ev],3-6 6-1 6-2 6-4,1.30,3.6%,69.1%,64.5%,58.8%,7/10,4.6%,50.5%,61.8%,40.7%,7/14,3:03,1
SF,1,(1)Novak Djokovic[SRB] [yr|ev],d.,15,(13)Dominic Thiem[AUT] [yr|ev],6-2 6-1 6-4,1.72,2.7%,68.5%,72.0%,69.6%,3/4,2.4%,60.2%,54.0%,45.5%,7/13,1:48,1
SF,2,(2)Andy Murray[GBR] [yr|ev],d.,4,(3)Stan Wawrinka[SUI] [yr|ev],6-4 6-2 4-6 6-2,1.45,2.8%,67.0%,79.5%,61.1%,4/5,0.9%,59.4%,68.3%,51.2%,10/15,2:35,1
QF,1,(1)Novak Djokovic[SRB] [yr|ev],d.,8,(7)Tomas Berdych[CZE] [yr|ev],6-3 7-5 6-3,1.48,0.0%,60.5%,71.4%,65.6%,4/6,4.9%,56.8%,67.4%,37.1%,2/8,2:06,1
QF,15,(13)Dominic Thiem[AUT] [yr|ev],d.,13,(12)David Goffin[BEL] [yr|ev],4-6 7-6(7) 6-4 6-1,1.14,1.4%,64.1%,65.9%,49.0%,7/13,2.2%,54.8%,67.6%,37.7%,9/17,2:51,3
QF,4,(3)Stan Wawrinka[SUI] [yr|ev],d.,55,Albert Ramos[ESP] [yr|ev],6-2 6-1 7-6(7),1.65,9.0%,51.7%,78.3%,67.4%,3/4,2.2%,62.0%,59.6%,48.6%,6/11,1:55,3
QF,2,(2)Andy Murray[GBR] [yr|ev],d.,12,(9)Richard Gasquet[FRA] [yr|ev],5-7 7-6(3) 6-0 6-2,1.31,9.2%,58.3%,74.3%,54.0%,5/8,1.4%,63.8%,53.4%,58.0%,11/18,3:23,1
R16,1,(1)Novak Djokovic[SRB] [yr|ev],d.,16,(14)Roberto Bautista Agut[ESP] [yr|ev],3-6 6-4 6-1 7-5,1.24,1.7%,70.7%,64.6%,50.0%,5/11,0.7%,71.8%,53.9%,42.5%,13/22,3:12,1
R16,8,(7)Tomas Berdych[CZE] [yr|ev],d.,11,(11)David Ferrer[ESP] [yr|ev],6-3 7-5 6-3,1.14,4.9%,60.8%,74.2%,57.5%,9/9,4.6%,60.9%,71.7%,50.0%,7/11,2:12,4
R16,15,(13)Dominic Thiem[AUT] [yr|ev],d.,56,Marcel Granollers[ESP] [yr|ev],6-2 6-7(2) 6-1 6-4,1.36,2.5%,59.2%,76.1%,61.2%,6/7,1.6%,62.4%,67.9%,44.7%,10/16,2:51,3
R16,13,(12)David Goffin[BEL] [yr|ev],d.,80,Ernests Gulbis[LAT] [yr|ev],4-6 6-2 6-2 6-3,1.68,7.3%,59.4%,73.7%,71.8%,3/5,5.3%,47.0%,64.5%,45.7%,17/24,2:35,7
R16,55,Albert Ramos[ESP] [yr|ev],d.,9,(8)Milos Raonic[CAN] [yr|ev],6-2 6-4 6-4,1.23,2.0%,68.4%,73.1%,48.4%,6/7,7.3%,64.6%,62.9%,47.1%,9/14,2:19,17
R16,4,(3)Stan Wawrinka[SUI] [yr|ev],d.,24,(22)Viktor Troicki[SRB] [yr|ev],7-6(5) 6-7(7) 6-3 6-2,1.26,13.6%,60.0%,71.4%,60.7%,3/5,6.7%,63.0%,71.8%,36.0%,5/10,2:56,3
R16,12,(9)Richard Gasquet[FRA] [yr|ev],d.,6,(5)Kei Nishikori[JPN] [yr|ev],6-4 6-2 4-6 6-2,1.38,6.2%,60.8%,72.9%,65.8%,3/6,2.8%,70.6%,62.3%,50.0%,6/13,2:34,7
R16,2,(2)Andy Murray[GBR] [yr|ev],d.,17,(15)John Isner[USA] [yr|ev],7-6(9) 6-4 6-3,1.44,8.3%,60.2%,83.1%,60.5%,5/5,14.3%,69.0%,73.6%,38.5%,8/10,2:40,1
R32,1,(1)Novak Djokovic[SRB] [yr|ev],d.,66,Aljaz Bedene[SLO] [yr|ev],6-2 6-3 6-3,1.44,5.4%,76.3%,67.6%,54.5%,5/7,8.7%,57.6%,64.2%,28.2%,10/17,2:02,1
R32,16,(14)Roberto Bautista Agut[ESP] [yr|ev],d.,47,Borna Coric[CRO] [yr|ev],6-2 6-3 6-3,1.69,3.9%,71.1%,81.5%,45.5%,1/2,7.3%,61.0%,52.0%,50.0%,6/12,1:59,9
R32,11,(11)David Ferrer[ESP] [yr|ev],d.,23,(21)Feliciano Lopez[ESP] [yr|ev],6-4 7-6(6) 6-1,1.30,4.4%,63.3%,77.2%,45.5%,1/3,5.2%,63.8%,60.8%,45.2%,7/13,2:23,3
R32,8,(7)Tomas Berdych[CZE] [yr|ev],d.,27,(25)Pablo Cuevas[URU] [yr|ev],4-6 6-3 6-2 7-5,1.22,7.7%,56.9%,82.4%,53.6%,8/9,4.5%,56.3%,65.1%,61.2%,6/10,2:45,4
R32,56,Marcel Granollers[ESP] [yr|ev],d.,5,(4)Rafael Nadal[ESP] [yr|ev],W/O,,,,,,,,,,,,,19
R32,15,(13)Dominic Thiem[AUT] [yr|ev],d.,41,Alexander Zverev[GER] [yr|ev],6-7(4) 6-3 6-3 6-3,1.30,4.5%,59.1%,71.8%,63.0%,7/8,5.0%,59.5%,68.1%,44.9%,10/15,2:49,3
R32,13,(12)David Goffin[BEL] [yr|ev],d.,49,Nicolas Almagro[ESP] [yr|ev],6-2 4-6 6-3 4-6 6-2,1.18,7.4%,58.5%,73.4%,57.1%,9/13,13.6%,50.4%,73.0%,48.4%,7/14,2:54,7
R32,80,Ernests Gulbis[LAT] [yr|ev],d.,7,(6)Jo-Wilfried Tsonga[FRA] [yr|ev],2-5 RET,0.79,15.0%,70.0%,57.1%,33.3%,3/4,0.0%,76.3%,72.4%,22.2%,5/5,0:40,10
R32,9,(8)Milos Raonic[CAN] [yr|ev],d.,133,(LL)Andrej Martin[SVK] [yr|ev],7-6(4) 6-2 6-3,1.33,7.0%,59.0%,69.5%,48.8%,5/8,0.0%,69.3%,48.1%,48.6%,12/19,2:41,3
R32,55,Albert Ramos[ESP] [yr|ev],d.,25,(23)Jack Sock[USA] [yr|ev],6-7(2) 6-4 6-4 4-6 6-4,1.10,4.7%,67.4%,71.6%,48.2%,16/21,5.5%,65.2%,66.1%,49.2%,9/16,4:11,17
