Entry,Player,Cty,M,Pts,Hld%,Brk%,A,Ace%,DF,DF%,1stIn,1st%,2nd%,SPW,BPFaced,BPSvd%,RPW,BPEarned,BPConv%,TPW,DR,Time
Seed or method of entry (Q/LL/WC/etc),,Country,Matches played,Total points played,Hold percentage,Break percentage,Aces,Ace rate,Double faults,Double fault rate,First serve percentage,First serve points won,Second serve points won,Service points won,Total break points faced,Percentage of break points saved,Return points won,Total break points generated,,Total points won,"Dominance Ratio: % of return points won
divided by % of serve points lost.",
4,Rafael Nadal,ESP,3,274,91.3%,72.7%,1,0.9%,2,1.7%,80.3%,77.7%,65.2%,75.2%,9,77.8%,56.7%,24,66.7%,64.6%,2.29,3:04
1,Novak Djokovic,SRB,7,1331,83.8%,45.6%,18,2.8%,15,2.3%,69.0%,68.2%,60.3%,65.7%,43,60.5%,48.6%,100,47.0%,56.9%,1.42,15:58
17,Nick Kyrgios,AUS,3,578,88.4%,18.6%,35,13.2%,2,0.8%,67.7%,74.4%,65.1%,71.4%,14,64.3%,38.1%,30,26.7%,53.5%,1.33,5:42
8,Milos Raonic,CAN,4,744,84.2%,29.1%,31,8.6%,13,3.6%,60.8%,74.0%,56.7%,67.2%,23,60.9%,43.2%,48,33.3%,54.8%,1.32,8:45
3,Stan Wawrinka,SUI,6,1379,88.0%,23.3%,53,8.2%,16,2.5%,60.0%,75.1%,60.8%,69.4%,41,68.3%,39.2%,68,35.3%,53.4%,1.28,14:43
,Guido Pella,ARG,2,565,76.2%,34.9%,7,2.6%,3,1.1%,70.6%,69.5%,52.6%,64.5%,26,61.5%,44.7%,34,44.1%,54.0%,1.26,6:54
,Fernando Verdasco,ESP,3,664,80.8%,36.5%,17,5.3%,10,3.1%,71.7%,69.3%,54.9%,65.2%,31,67.7%,43.3%,49,38.8%,53.9%,1.24,7:21
12,David Goffin,BEL,5,1106,79.8%,37.9%,27,5.1%,18,3.4%,56.7%,71.9%,56.6%,65.3%,47,61.7%,42.8%,77,42.9%,53.5%,1.23,12:00
6,Jo-Wilfried Tsonga,FRA,3,538,90.2%,29.3%,13,4.6%,8,2.8%,65.8%,73.5%,51.0%,65.8%,19,78.9%,41.6%,29,41.4%,54.3%,1.22,6:07
,Teymuraz Gabashvili,RUS,3,715,80.4%,32.7%,18,5.3%,13,3.8%,59.1%,77.1%,48.9%,65.6%,30,63.3%,41.9%,48,37.5%,53.1%,1.22,7:23
11,David Ferrer,ESP,4,818,80.3%,41.4%,15,3.9%,16,4.2%,63.1%,71.4%,46.8%,62.3%,32,62.5%,45.6%,54,44.4%,53.4%,1.21,9:13
,Nicolas Almagro,ESP,3,690,80.4%,28.6%,43,13.7%,15,4.8%,53.7%,78.1%,53.4%,66.7%,27,59.3%,39.7%,42,38.1%,52.0%,1.19,7:39
7,Tomas Berdych,CZE,5,932,86.1%,29.9%,36,7.5%,11,2.3%,56.9%,76.5%,52.9%,66.3%,37,70.3%,40.1%,55,41.8%,53.5%,1.19,10:55
2,Andy Murray,GBR,7,1662,84.6%,26.2%,53,6.6%,23,2.8%,61.9%,74.8%,52.6%,66.3%,54,63.0%,39.8%,89,37.1%,52.7%,1.18,20:52
14,Roberto Bautista Agut,ESP,4,753,76.7%,43.1%,15,3.9%,7,1.8%,69.1%,67.5%,48.3%,61.6%,34,58.8%,44.9%,42,59.5%,53.5%,1.17,8:57
,Andrey Kuznetsov,RUS,2,320,73.1%,29.6%,11,7.3%,6,4.0%,53.3%,71.3%,57.1%,64.7%,10,30.0%,41.2%,17,47.1%,52.2%,1.17,3:08
13,Dominic Thiem,AUT,6,1372,81.1%,30.8%,25,3.6%,19,2.8%,57.7%,70.5%,55.3%,64.1%,59,66.1%,41.8%,81,39.5%,53.0%,1.16,15:22
9,Richard Gasquet,FRA,5,1023,82.1%,33.3%,21,4.1%,9,1.8%,63.1%,67.4%,59.6%,64.5%,39,64.1%,41.3%,60,43.3%,52.9%,1.16,12:25
25,Pablo Cuevas,URU,3,727,85.5%,14.5%,35,10.4%,5,1.5%,58.8%,75.8%,58.3%,68.5%,21,61.9%,35.9%,31,25.8%,51.0%,1.14,7:39
,Marcel Granollers,ESP,4,537,76.7%,30.2%,9,3.6%,4,1.6%,60.2%,70.2%,55.0%,64.1%,20,50.0%,40.6%,33,39.4%,51.6%,1.13,6:14
,Jordan Thompson,AUS,2,603,91.8%,10.2%,18,6.1%,5,1.7%,65.6%,78.8%,57.4%,71.4%,14,71.4%,31.4%,17,29.4%,50.9%,1.10,6:39
,Borna Coric,CRO,3,600,80.9%,24.4%,28,10.3%,11,4.0%,62.5%,68.8%,58.8%,65.1%,18,50.0%,38.4%,35,31.4%,50.5%,1.10,6:29
,Albert Ramos,ESP,5,1221,81.8%,29.9%,24,4.0%,11,1.8%,64.8%,67.9%,53.1%,62.7%,59,72.9%,40.6%,72,36.1%,51.4%,1.09,14:19
Q,Steve Darcis,BEL,2,358,78.6%,28.6%,9,4.9%,6,3.3%,58.5%,70.1%,52.6%,62.8%,19,68.4%,40.6%,11,72.7%,52.0%,1.09,3:56
LL,Andrej Martin,SVK,3,653,79.2%,29.2%,8,2.4%,11,3.3%,68.2%,64.3%,53.8%,61.0%,38,73.7%,42.5%,35,40.0%,51.9%,1.09,7:32
