Entry,Player,Cty,M,Pts,Hld%,Brk%,A,Ace%,DF,DF%,1stIn,1st%,2nd%,SPW,BPFaced,BPSvd%,RPW,BPEarned,BPConv%,TPW,DR,Time
Seed or method of entry (Q/LL/WC/etc),,Country,Matches played,Total points played,Hold percentage,Break percentage,Aces,Ace rate,Double faults,Double fault rate,First serve percentage,First serve points won,Second serve points won,Service points won,Total break points faced,Percentage of break points saved,Return points won,Total break points generated,,Total points won,"Dominance Ratio: % of return points won
divided by % of serve points lost.",
30,Marin Cilic,CRO,3,884,79.4%,25.4%,60,13.9%,23,5.3%,55.7%,76.3%,46.6%,63.1%,30,53.3%,39.1%,50,34.0%,50.8%,1.06,10:46
,Kei Nishikori,JPN,4,853,72.7%,33.3%,11,2.5%,23,5.2%,57.8%,67.8%,50.0%,60.3%,39,53.8%,42.2%,49,44.9%,51.6%,1.06,9:40
Q,Robert Kendrick,USA,2,482,92.3%,5.1%,47,20.3%,14,6.1%,58.4%,80.7%,58.3%,71.4%,7,57.1%,29.9%,9,22.2%,49.8%,1.05,4:50
10,Stan Wawrinka,SUI,4,859,76.5%,29.9%,38,8.3%,11,2.4%,57.5%,73.0%,47.4%,62.1%,45,64.4%,39.3%,33,60.6%,51.5%,1.04,10:27
,Jose Acasuso,ARG,2,329,76.9%,25.9%,12,7.9%,10,6.6%,55.3%,79.8%,39.7%,61.8%,8,25.0%,39.5%,22,31.8%,49.8%,1.04,3:40
31,Andreas Seppi,ITA,3,705,73.7%,31.6%,17,4.7%,18,4.9%,61.4%,67.9%,51.1%,61.4%,34,55.9%,40.0%,29,62.1%,51.1%,1.04,7:27
Q,Jan Hernych,CZE,1,378,70.4%,33.3%,4,2.1%,9,4.7%,56.3%,57.4%,57.1%,57.3%,24,66.7%,44.6%,16,56.3%,51.1%,1.04,4:05
,Florent Serra,FRA,2,301,84.0%,20.0%,1,0.7%,4,2.6%,70.2%,70.8%,73.3%,71.5%,10,60.0%,29.3%,11,45.5%,50.5%,1.03,2:55
,Steve Darcis,BEL,2,423,80.0%,29.0%,11,4.9%,9,4.0%,54.4%,69.9%,50.5%,61.1%,23,73.9%,40.1%,16,56.3%,51.3%,1.03,4:13
27,Feliciano Lopez,ESP,1,290,79.2%,20.8%,15,10.7%,9,6.4%,55.7%,75.6%,50.0%,64.3%,9,44.4%,36.7%,12,41.7%,50.0%,1.03,3:05
19,Jo-Wilfried Tsonga,FRA,3,687,84.9%,22.2%,36,10.2%,12,3.4%,64.5%,72.2%,51.2%,64.8%,19,57.9%,35.8%,24,50.0%,50.7%,1.02,7:34
,Robby Ginepri,USA,2,415,84.8%,21.9%,15,6.9%,3,1.4%,59.6%,71.5%,54.5%,64.7%,15,66.7%,36.0%,13,53.8%,51.1%,1.02,4:24
,Nicolas Lapentti,ECU,1,322,69.6%,30.4%,13,8.2%,4,2.5%,65.4%,68.3%,38.2%,57.9%,20,65.0%,42.9%,27,25.9%,50.3%,1.02,3:56
24,Paul Henri Mathieu,FRA,2,461,87.2%,13.2%,15,6.4%,12,5.2%,52.4%,69.7%,68.5%,69.1%,13,61.5%,31.6%,8,62.5%,50.5%,1.02,5:07
,Wayne Odesnik,USA,2,470,73.0%,25.0%,10,4.5%,11,4.9%,63.7%,71.1%,45.7%,61.9%,23,56.5%,38.1%,25,36.0%,49.4%,1.00,5:16
