Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time,WinnerPeakRank
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,,Winner's peak ATP rank
F,1,(1)Novak Djokovic[SRB] [yr|ev],d.,2,(2)Rafael Nadal[ESP] [yr|ev],6-3 6-2 6-3,2.40,11.6%,72.5%,80.0%,84.2%,1/1,4.1%,64.4%,51.1%,61.5%,3/8,2:04,1
SF,2,(2)Rafael Nadal[ESP] [yr|ev],d.,15,(14)Stefanos Tsitsipas[GRE] [yr|ev],6-2 6-4 6-0,2.35,8.2%,65.6%,85.0%,71.4%,1/1,7.7%,69.2%,64.4%,30.0%,5/11,1:46,1
SF,1,(1)Novak Djokovic[SRB] [yr|ev],d.,31,(28)Lucas Pouille[FRA] [yr|ev],6-0 6-2 6-2,3.40,11.3%,71.7%,84.2%,86.7%,0/0,5.4%,54.1%,67.5%,26.5%,5/12,1:23,1
QF,1,(1)Novak Djokovic[SRB] [yr|ev],d.,9,(8)Kei Nishikori[JPN] [yr|ev],6-1 4-1 RET,4.01,6.9%,69.0%,85.0%,88.9%,0/0,0.0%,70.2%,48.5%,35.7%,0/4,0:52,1
QF,31,(28)Lucas Pouille[FRA] [yr|ev],d.,17,(16)Milos Raonic[CAN] [yr|ev],7-6(4) 6-3 6-7(2) 6-4,1.37,11.5%,65.6%,83.8%,57.1%,0/1,16.8%,58.4%,71.3%,56.5%,11/14,3:02,10
QF,15,(14)Stefanos Tsitsipas[GRE] [yr|ev],d.,24,(22)Roberto Bautista Agut[ESP] [yr|ev],7-5 4-6 6-4 7-6(2),1.06,17.1%,57.4%,83.8%,49.1%,1/4,4.7%,68.8%,72.7%,55.0%,7/11,3:15,3
QF,2,(2)Rafael Nadal[ESP] [yr|ev],d.,39,Frances Tiafoe[USA] [yr|ev],6-3 6-4 6-2,1.76,14.3%,74.0%,84.2%,60.0%,2/2,18.1%,75.0%,70.4%,33.3%,4/8,1:47,1
R16,15,(14)Stefanos Tsitsipas[GRE] [yr|ev],d.,3,(3)Roger Federer[SUI] [yr|ev],6-7(11) 7-6(3) 7-5 7-6(5),0.97,10.6%,59.6%,77.7%,64.5%,12/12,7.7%,67.3%,79.0%,60.8%,2/3,3:45,3
R16,17,(16)Milos Raonic[CAN] [yr|ev],d.,4,(4)Alexander Zverev[GER] [yr|ev],6-1 6-1 7-6(5),1.58,19.2%,69.2%,79.6%,54.2%,0/1,6.7%,62.2%,67.9%,35.3%,14/20,1:59,3
R16,24,(22)Roberto Bautista Agut[ESP] [yr|ev],d.,7,(6)Marin Cilic[CRO] [yr|ev],6-7(6) 6-3 6-2 4-6 6-4,1.22,6.5%,68.8%,69.8%,68.8%,3/5,10.2%,61.1%,75.5%,43.1%,8/13,3:58,9
R16,31,(28)Lucas Pouille[FRA] [yr|ev],d.,12,(11)Borna Coric[CRO] [yr|ev],6-7(4) 6-4 7-5 7-6(2),1.28,14.1%,65.2%,83.0%,55.3%,4/6,15.5%,77.4%,75.0%,34.3%,8/12,3:15,10
R16,1,(1)Novak Djokovic[SRB] [yr|ev],d.,19,(15)Daniil Medvedev[RUS] [yr|ev],6-4 6-7(5) 6-2 6-3,1.21,4.8%,66.7%,72.6%,50.0%,7/9,12.7%,65.5%,69.9%,34.7%,11/18,3:15,1
R16,39,Frances Tiafoe[USA] [yr|ev],d.,21,(20)Grigor Dimitrov[BUL] [yr|ev],7-5 7-6(6) 6-7(1) 7-5,0.88,5.3%,64.7%,66.7%,49.3%,15/18,14.3%,64.6%,73.7%,50.0%,8/13,3:39,10
R16,9,(8)Kei Nishikori[JPN] [yr|ev],d.,23,(23)Pablo Carreno Busta[ESP] [yr|ev],6-7(8) 4-6 7-6(4) 6-4 7-6(8),1.06,7.2%,61.4%,73.2%,42.5%,8/14,2.3%,69.9%,62.1%,51.5%,15/21,5:05,4
R16,2,(2)Rafael Nadal[ESP] [yr|ev],d.,57,Tomas Berdych[CZE] [yr|ev],6-0 6-1 7-6(4),1.77,6.2%,69.1%,80.4%,64.0%,2/2,6.4%,47.4%,70.3%,43.9%,8/13,2:05,1
R32,24,(22)Roberto Bautista Agut[ESP] [yr|ev],d.,11,(10)Karen Khachanov[RUS] [yr|ev],6-4 7-5 6-4,1.51,5.8%,65.1%,82.1%,50.0%,0/2,8.0%,52.0%,65.4%,45.8%,9/14,2:08,9
R32,23,(23)Pablo Carreno Busta[ESP] [yr|ev],d.,13,(12)Fabio Fognini[ITA] [yr|ev],6-2 6-4 2-6 6-4,1.18,9.3%,70.1%,64.0%,50.0%,8/14,6.9%,63.8%,70.3%,21.4%,9/17,2:30,10
R32,57,Tomas Berdych[CZE] [yr|ev],d.,16,(18)Diego Schwartzman[ARG] [yr|ev],5-7 6-3 7-5 6-4,1.03,13.3%,58.0%,83.1%,48.3%,7/8,6.3%,60.3%,77.6%,52.0%,4/7,3:00,4
R32,15,(14)Stefanos Tsitsipas[GRE] [yr|ev],d.,20,(19)Nikoloz Basilashvili[GEO] [yr|ev],6-3 3-6 7-6(7) 6-4,1.13,13.7%,63.4%,78.3%,54.2%,2/4,10.8%,60.0%,70.5%,57.7%,3/6,2:54,3
