Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time,WinnerPeakRank
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,,Winner's peak ATP rank
F,2,(2)Rafael Nadal[ESP] [yr|ev],d.,4,(4)Dominic Thiem[AUT] [yr|ev],6-3 5-7 6-1 6-1,1.52,2.8%,73.6%,73.1%,64.3%,4/6,7.6%,69.6%,57.8%,50.0%,6/13,3:01,1
SF,4,(4)Dominic Thiem[AUT] [yr|ev],d.,1,(1)Novak Djokovic[SRB] [yr|ev],6-2 3-6 7-5 5-7 7-5,1.12,2.7%,69.1%,65.0%,58.7%,5/12,3.4%,75.1%,62.4%,47.7%,13/22,4:13,3
SF,2,(2)Rafael Nadal[ESP] [yr|ev],d.,3,(3)Roger Federer[SUI] [yr|ev],6-3 6-4 6-2,1.39,3.4%,81.8%,68.1%,56.3%,2/4,3.2%,59.1%,61.8%,39.5%,10/16,2:25,1
QF,1,(1)Novak Djokovic[SRB] [yr|ev],d.,5,(5)Alexander Zverev[GER] [yr|ev],7-5 6-2 6-2,1.46,1.2%,64.0%,80.0%,51.6%,7/8,11.9%,69.0%,65.5%,34.6%,5/11,2:09,1
QF,4,(4)Dominic Thiem[AUT] [yr|ev],d.,11,(10)Karen Khachanov[RUS] [yr|ev],6-2 6-4 6-2,1.69,4.1%,63.0%,80.4%,63.0%,0/0,6.0%,67.9%,61.4%,44.4%,3/8,1:47,3
QF,3,(3)Roger Federer[SUI] [yr|ev],d.,28,(24)Stan Wawrinka[SUI] [yr|ev],7-6(4) 4-6 7-6(5) 6-4,1.25,3.4%,63.1%,77.7%,58.2%,3/5,4.7%,66.1%,71.7%,46.6%,16/18,3:35,1
QF,2,(2)Rafael Nadal[ESP] [yr|ev],d.,7,(7)Kei Nishikori[JPN] [yr|ev],6-1 6-1 6-3,1.78,4.3%,72.5%,76.0%,52.6%,4/5,2.7%,73.0%,44.4%,50.0%,4/11,1:51,1
R16,1,(1)Novak Djokovic[SRB] [yr|ev],d.,45,Jan Lennard Struff[GER] [yr|ev],6-3 6-2 6-2,2.11,8.7%,62.3%,86.0%,69.2%,1/1,5.7%,51.4%,72.2%,41.2%,2/7,1:33,1
R16,5,(5)Alexander Zverev[GER] [yr|ev],d.,12,(9)Fabio Fognini[ITA] [yr|ev],3-6 6-2 6-2 7-6(5),1.08,10.2%,70.1%,69.8%,53.7%,7/9,1.6%,64.6%,69.5%,48.9%,8/13,2:55,2
R16,4,(4)Dominic Thiem[AUT] [yr|ev],d.,17,(14)Gael Monfils[FRA] [yr|ev],6-4 6-4 6-2,1.55,2.7%,60.3%,79.5%,62.1%,0/1,3.4%,62.1%,66.7%,42.4%,7/12,1:48,3
