Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time,WinnerPeakRank
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,,Winner's peak ATP rank
F,1,(1)Roger Federer[SUI] [yr|ev],d.,4,(5)Andy Murray[GBR] [yr|ev],6-3 6-4 7-6(11),1.20,9.8%,67.0%,72.0%,59.5%,6/8,9.6%,55.8%,69.0%,52.2%,8/12,2:41,1
SF,1,(1)Roger Federer[SUI] [yr|ev],d.,10,(10)Jo-Wilfried Tsonga[FRA] [yr|ev],6-2 6-3 6-2,2.04,5.8%,63.8%,84.1%,68.0%,0/0,8.6%,60.0%,66.7%,39.3%,5/10,1:28,1
SF,4,(5)Andy Murray[GBR] [yr|ev],d.,14,(14)Marin Cilic[CRO] [yr|ev],3-6 6-4 6-4 6-2,1.33,3.7%,63.6%,75.0%,59.0%,6/9,4.8%,56.5%,70.0%,44.4%,11/16,3:02,1
QF,1,(1)Roger Federer[SUI] [yr|ev],d.,6,(6)Nikolay Davydenko[RUS] [yr|ev],2-6 6-3 6-0 7-5,1.21,6.6%,59.8%,67.1%,49.0%,14/19,0.9%,61.7%,59.1%,39.0%,6/14,2:36,1
QF,10,(10)Jo-Wilfried Tsonga[FRA] [yr|ev],d.,3,(3)Novak Djokovic[SRB] [yr|ev],7-6(8) 6-7(5) 1-6 6-3 6-1,0.98,11.3%,64.9%,67.9%,47.5%,10/16,1.4%,69.0%,67.0%,48.9%,4/11,3:52,5
QF,14,(14)Marin Cilic[CRO] [yr|ev],d.,7,(7)Andy Roddick[USA] [yr|ev],7-6(4) 6-3 3-6 2-6 6-3,0.96,12.9%,49.7%,75.3%,46.2%,10/16,10.6%,63.8%,68.9%,51.0%,8/13,3:50,3
QF,4,(5)Andy Murray[GBR] [yr|ev],d.,2,(2)Rafael Nadal[ESP] [yr|ev],6-3 7-6(2) 3-0 RET,1.23,12.4%,58.8%,77.2%,45.0%,10/12,1.4%,66.7%,62.5%,41.7%,6/10,2:30,1
R16,1,(1)Roger Federer[SUI] [yr|ev],d.,22,(22)Lleyton Hewitt[AUS] [yr|ev],6-2 6-3 6-4,1.62,8.9%,63.3%,76.0%,65.5%,4/5,5.0%,61.0%,60.7%,46.2%,10/15,1:55,1
R16,6,(6)Nikolay Davydenko[RUS] [yr|ev],d.,9,(9)Fernando Verdasco[ESP] [yr|ev],6-2 7-5 4-6 6-7(5) 6-3,1.08,3.5%,62.4%,67.6%,56.9%,8/12,9.0%,56.8%,72.7%,44.8%,5/12,3:57,3
R16,3,(3)Novak Djokovic[SRB] [yr|ev],d.,86,Lukasz Kubot[POL] [yr|ev],6-1 6-2 7-5,2.00,13.5%,68.9%,80.4%,69.6%,1/2,5.3%,60.5%,67.4%,33.3%,3/9,1:55,1
R16,10,(10)Jo-Wilfried Tsonga[FRA] [yr|ev],d.,25,(26)Nicolas Almagro[ESP] [yr|ev],6-3 6-4 4-6 6-7(6) 9-7,1.24,15.5%,57.8%,84.9%,63.2%,3/4,7.5%,76.9%,75.2%,52.5%,8/11,3:33,5
R16,7,(7)Andy Roddick[USA] [yr|ev],d.,11,(11)Fernando Gonzalez[CHI] [yr|ev],6-3 3-6 4-6 7-5 6-2,1.50,26.4%,68.0%,87.1%,50.0%,2/4,9.7%,61.1%,75.7%,42.6%,14/18,3:25,1
R16,14,(14)Marin Cilic[CRO] [yr|ev],d.,5,(4)Juan Martin del Potro[ARG] [yr|ev],5-7 6-4 7-5 5-7 6-3,1.09,11.6%,58.4%,83.2%,47.2%,7/10,10.5%,59.7%,72.2%,54.8%,12/16,4:38,3
R16,4,(5)Andy Murray[GBR] [yr|ev],d.,28,(33)John Isner[USA] [yr|ev],7-6(4) 6-3 6-2,1.92,5.6%,72.2%,81.5%,68.0%,4/4,15.7%,68.5%,70.5%,28.6%,3/5,2:12,1
R16,2,(2)Rafael Nadal[ESP] [yr|ev],d.,39,Ivo Karlovic[CRO] [yr|ev],6-4 4-6 6-4 6-4,1.16,2.0%,70.6%,77.8%,73.3%,1/2,26.4%,68.9%,76.7%,63.6%,3/6,2:36,1
R32,1,(1)Roger Federer[SUI] [yr|ev],d.,32,(31)Albert Montanes[ESP] [yr|ev],6-3 6-4 6-4,1.69,12.7%,65.8%,88.5%,55.6%,0/0,7.7%,60.4%,60.0%,63.9%,3/6,1:48,1
