Entry,Player,Cty,M,Pts,Hld%,Brk%,A,Ace%,DF,DF%,1stIn,1st%,2nd%,SPW,BPFaced,BPSvd%,RPW,BPEarned,BPConv%,TPW,DR,Time
Seed or method of entry (Q/LL/WC/etc),,Country,Matches played,Total points played,Hold percentage,Break percentage,Aces,Ace rate,Double faults,Double fault rate,First serve percentage,First serve points won,Second serve points won,Service points won,Total break points faced,Percentage of break points saved,Return points won,Total break points generated,,Total points won,"Dominance Ratio: % of return points won
divided by % of serve points lost.",
1,Roger Federer,SUI,7,1331,87.9%,38.6%,57,9.0%,12,1.9%,63.1%,77.1%,56.6%,69.5%,48,72.9%,45.0%,87,44.8%,56.7%,1.48,14:51
7,Andy Roddick,USA,5,1249,90.8%,21.6%,96,17.1%,5,0.9%,68.9%,78.0%,59.4%,72.2%,34,73.5%,38.3%,76,27.6%,53.6%,1.38,15:03
5,Andy Murray,GBR,7,1284,86.1%,35.1%,64,10.3%,13,2.1%,58.1%,76.5%,55.9%,67.9%,51,72.5%,44.3%,79,43.0%,55.8%,1.38,15:44
Q,Louk Sorensen,IRL,2,395,87.9%,17.6%,17,9.6%,8,4.5%,66.3%,83.1%,53.3%,73.0%,8,50.0%,35.9%,17,35.3%,52.7%,1.33,4:52
3,Novak Djokovic,SRB,5,1009,82.5%,44.2%,31,6.1%,31,6.1%,66.0%,73.4%,47.7%,64.6%,45,68.9%,46.5%,71,47.9%,55.7%,1.31,12:23
20,Mikhail Youzhny,RUS,3,497,84.6%,30.8%,17,6.9%,9,3.6%,59.3%,76.2%,51.5%,66.1%,16,62.5%,43.4%,20,60.0%,54.7%,1.28,6:24
22,Lleyton Hewitt,AUS,4,570,82.6%,37.0%,23,8.0%,6,2.1%,59.2%,70.8%,59.3%,66.1%,25,68.0%,43.4%,37,45.9%,54.9%,1.28,6:29
6,Nikolay Davydenko,RUS,5,986,79.7%,43.6%,28,5.7%,13,2.7%,65.1%,68.3%,52.6%,62.9%,41,61.0%,46.8%,71,47.9%,54.8%,1.26,11:42
24,Ivan Ljubicic,CRO,3,614,93.9%,22.9%,33,10.7%,5,1.6%,63.8%,79.1%,55.0%,70.4%,16,81.3%,37.1%,32,34.4%,53.7%,1.25,7:03
9,Fernando Verdasco,ESP,4,825,82.0%,32.8%,27,6.8%,34,8.5%,65.2%,76.2%,44.6%,65.2%,30,63.3%,43.0%,55,38.2%,53.7%,1.23,9:14
,Michael Berrer,GER,2,328,77.8%,34.6%,15,9.3%,6,3.7%,67.1%,68.5%,56.6%,64.6%,10,40.0%,43.1%,16,56.3%,53.7%,1.22,3:41
27,Philipp Kohlschreiber,GER,3,677,84.0%,30.0%,37,11.3%,11,3.4%,63.6%,75.5%,47.1%,65.1%,29,72.4%,42.6%,43,34.9%,53.5%,1.22,8:36
2,Rafael Nadal,ESP,5,982,87.0%,26.9%,21,4.4%,8,1.7%,64.8%,72.0%,58.0%,67.1%,35,71.4%,39.6%,49,42.9%,53.1%,1.20,13:03
Q,Stefan Koubek,AUT,3,515,85.7%,25.6%,22,8.8%,9,3.6%,61.0%,71.7%,57.7%,66.3%,14,57.1%,39.8%,24,41.7%,52.6%,1.18,5:52
19,Stan Wawrinka,SUI,3,563,88.9%,27.3%,28,9.5%,15,5.1%,54.6%,81.4%,47.8%,66.1%,16,68.8%,39.2%,22,54.5%,53.3%,1.16,7:01
,Marcos Baghdatis,CYP,3,560,79.1%,25.0%,24,9.6%,4,1.6%,53.8%,76.1%,51.3%,64.7%,21,57.1%,41.2%,27,40.7%,51.6%,1.16,7:03
,Ivo Karlovic,CRO,4,971,87.7%,13.8%,122,26.0%,15,3.2%,63.6%,83.9%,47.4%,70.6%,37,73.0%,34.1%,32,34.4%,51.8%,1.16,11:50
17,David Ferrer,ESP,2,402,80.6%,36.7%,3,1.4%,2,0.9%,64.0%,65.7%,55.8%,62.1%,17,64.7%,43.6%,18,61.1%,53.5%,1.15,5:10
,Evgeny Korolev,KAZ,3,690,80.0%,30.4%,22,6.5%,19,5.6%,58.9%,75.6%,47.9%,64.2%,26,57.7%,40.7%,30,56.7%,52.3%,1.14,7:47
21,Tomas Berdych,CZE,2,337,71.4%,39.3%,6,3.7%,5,3.1%,50.3%,67.9%,51.2%,59.6%,15,46.7%,46.0%,18,61.1%,52.5%,1.14,4:00
,Jarkko Nieminen,FIN,2,591,85.7%,27.9%,10,3.4%,4,1.4%,76.6%,66.7%,57.4%,64.5%,24,75.0%,40.5%,37,32.4%,52.3%,1.14,5:52
10,Jo-Wilfried Tsonga,FRA,6,1341,84.8%,22.3%,97,14.5%,15,2.2%,62.2%,77.1%,54.0%,68.4%,41,58.5%,35.6%,54,46.3%,51.9%,1.13,14:53
,Alejandro Falla,COL,3,533,82.9%,33.3%,7,2.7%,10,3.8%,53.6%,72.1%,51.2%,62.5%,17,58.8%,42.3%,32,43.8%,52.2%,1.13,5:55
,Denis Istomin,UZB,3,460,70.3%,39.5%,18,8.4%,4,1.9%,61.7%,68.2%,48.8%,60.7%,17,35.3%,44.3%,31,48.4%,52.0%,1.13,5:19
,Lukasz Kubot,POL,4,561,74.4%,32.6%,26,10.0%,13,5.0%,63.6%,71.1%,49.5%,63.2%,23,52.2%,41.3%,30,50.0%,51.5%,1.12,6:19
,Janko Tipsarevic,SRB,2,527,78.4%,23.7%,24,9.7%,10,4.0%,57.1%,67.4%,54.7%,61.9%,19,57.9%,42.5%,34,26.5%,51.6%,1.12,6:06
29,Viktor Troicki,SRB,2,470,81.1%,24.3%,41,18.0%,12,5.3%,57.9%,76.5%,49.0%,64.9%,21,66.7%,38.8%,18,50.0%,51.5%,1.11,5:46
26,Nicolas Almagro,ESP,4,1133,89.2%,12.9%,55,9.9%,10,1.8%,64.3%,76.5%,59.6%,70.5%,26,61.5%,32.5%,34,35.3%,51.1%,1.10,12:09
14,Marin Cilic,CRO,6,1670,82.4%,23.4%,87,10.7%,25,3.1%,55.0%,77.5%,50.4%,65.3%,66,65.2%,37.9%,81,37.0%,51.3%,1.09,21:10
31,Albert Montanes,ESP,3,611,82.2%,21.3%,24,8.1%,8,2.7%,64.2%,68.4%,54.7%,63.5%,17,52.9%,39.4%,27,37.0%,51.1%,1.08,6:30
18,Tommy Haas,GER,3,752,80.0%,26.7%,39,10.4%,13,3.5%,62.2%,69.2%,52.8%,63.0%,31,61.3%,39.9%,37,43.2%,51.5%,1.08,8:38
,James Blake,USA,2,602,82.6%,21.3%,25,8.0%,3,1.0%,62.7%,72.8%,50.9%,64.6%,24,66.7%,37.8%,24,41.7%,51.7%,1.07,6:29
