Entry,Player,Cty,M,Pts,Hld%,Brk%,A,Ace%,DF,DF%,1stIn,1st%,2nd%,SPW,BPFaced,BPSvd%,RPW,BPEarned,BPConv%,TPW,DR,Time
Seed or method of entry (Q/LL/WC/etc),,Country,Matches played,Total points played,Hold percentage,Break percentage,Aces,Ace rate,Double faults,Double fault rate,First serve percentage,First serve points won,Second serve points won,Service points won,Total break points faced,Percentage of break points saved,Return points won,Total break points generated,,Total points won,"Dominance Ratio: % of return points won
divided by % of serve points lost.",
10,Tomas Berdych,CZE,3,403,84.8%,22.6%,30,16.9%,7,3.9%,61.2%,86.2%,49.3%,71.9%,9,44.4%,39.6%,18,38.9%,53.8%,1.41,4:07
12,Jo-Wilfried Tsonga,FRA,5,1157,93.3%,23.9%,82,15.0%,17,3.1%,59.1%,81.4%,54.7%,70.5%,21,71.4%,38.9%,60,35.0%,53.8%,1.32,12:48
25,Gilles Simon,FRA,3,529,86.4%,34.9%,5,1.9%,11,4.2%,65.3%,73.4%,56.7%,67.6%,14,57.1%,42.2%,25,60.0%,54.6%,1.30,6:00
17,Roger Federer,SUI,7,1634,88.1%,28.5%,108,13.6%,18,2.3%,62.9%,78.0%,54.8%,69.4%,51,68.6%,39.8%,84,44.0%,54.2%,1.30,17:14
32,Philipp Kohlschreiber,GER,3,598,82.0%,28.6%,18,6.6%,9,3.3%,59.4%,74.5%,59.1%,68.3%,18,50.0%,41.0%,25,56.0%,53.3%,1.29,6:17
27,Bernard Tomic,AUS,3,699,88.9%,18.9%,51,16.0%,5,1.6%,69.8%,79.3%,53.1%,71.4%,14,57.1%,36.7%,30,33.3%,52.5%,1.28,7:45
15,Grigor Dimitrov,BUL,6,1346,86.0%,26.0%,73,10.9%,18,2.7%,67.2%,77.1%,50.7%,68.4%,52,71.2%,40.1%,70,38.6%,54.2%,1.27,16:11
9,Rafael Nadal,ESP,7,1775,88.3%,23.1%,40,4.7%,15,1.8%,73.8%,71.5%,60.4%,68.6%,58,72.4%,39.2%,94,33.0%,53.2%,1.25,22:33
,Fabio Fognini,ITA,2,550,80.5%,29.3%,7,2.9%,9,3.7%,56.0%,69.6%,60.4%,65.6%,16,50.0%,42.4%,44,27.3%,52.5%,1.23,5:31
