Entry,Player,Cty,M,Pts,Hld%,Brk%,A,Ace%,DF,DF%,1stIn,1st%,2nd%,SPW,BPFaced,BPSvd%,RPW,BPEarned,BPConv%,TPW,DR,Time
Seed or method of entry (Q/LL/WC/etc),,Country,Matches played,Total points played,Hold percentage,Break percentage,Aces,Ace rate,Double faults,Double fault rate,First serve percentage,First serve points won,Second serve points won,Service points won,Total break points faced,Percentage of break points saved,Return points won,Total break points generated,,Total points won,"Dominance Ratio: % of return points won
divided by % of serve points lost.",
,John Isner,USA,2,148,100.0%,35.7%,19,26.4%,0,0.0%,69.4%,88.0%,54.5%,77.8%,0,-,40.8%,8,62.5%,58.8%,1.84,1:52
1,Daniil Medvedev,RUS,4,761,86.2%,36.7%,52,14.1%,11,3.0%,60.2%,74.3%,55.1%,66.7%,24,66.7%,44.9%,53,41.5%,55.5%,1.35,9:00
20,Daniel Evans,GBR,3,662,86.5%,25.5%,24,8.1%,16,5.4%,60.4%,78.3%,56.8%,69.8%,13,46.2%,39.8%,40,35.0%,53.3%,1.32,8:51
8,Hubert Hurkacz,POL,2,432,91.4%,17.1%,31,15.8%,7,3.6%,57.7%,82.3%,57.8%,71.9%,7,57.1%,36.9%,21,28.6%,52.8%,1.31,4:48
2,Rafael Nadal,ESP,4,801,80.9%,35.4%,24,6.2%,21,5.4%,57.0%,73.6%,54.8%,65.5%,29,55.2%,43.6%,45,51.1%,54.2%,1.27,11:42
7,Cameron Norrie,GBR,4,711,86.2%,30.5%,30,8.6%,8,2.3%,65.4%,77.7%,47.9%,67.4%,25,68.0%,41.0%,40,45.0%,54.0%,1.26,8:43
5,Casper Ruud,NOR,7,1674,87.9%,27.9%,40,5.0%,24,3.0%,63.9%,75.4%,57.9%,69.1%,52,67.3%,38.7%,94,40.4%,53.3%,1.25,21:48
17,Grigor Dimitrov,BUL,2,358,93.3%,17.2%,35,20.7%,9,5.3%,56.8%,84.4%,56.2%,72.2%,10,80.0%,34.4%,18,27.8%,52.2%,1.24,3:57
15,Marin Cilic,CRO,4,949,87.5%,24.3%,71,14.9%,36,7.6%,54.5%,81.9%,51.4%,68.0%,35,71.4%,39.0%,45,40.0%,53.5%,1.22,12:41
,Andy Murray,GBR,3,662,79.2%,34.0%,18,5.8%,12,3.9%,56.6%,73.7%,52.2%,64.4%,23,52.2%,43.3%,35,51.4%,53.2%,1.22,9:29
3,Carlos Alcaraz,ESP,7,1766,82.7%,35.3%,41,4.7%,27,3.1%,67.8%,68.5%,55.7%,64.4%,70,65.7%,42.6%,109,44.0%,53.3%,1.20,23:39
13,Matteo Berrettini,ITA,5,1137,86.2%,21.3%,76,13.8%,11,2.0%,58.6%,78.6%,56.6%,69.5%,35,62.9%,36.7%,52,38.5%,52.6%,1.20,15:38
11,Jannik Sinner,ITA,5,1359,76.2%,34.3%,57,8.5%,38,5.7%,54.5%,72.4%,52.6%,63.4%,61,59.0%,44.0%,88,40.9%,53.6%,1.20,18:01
23,Nick Kyrgios,AUS,5,1187,90.1%,18.6%,116,19.9%,26,4.5%,69.6%,77.8%,54.8%,70.8%,35,71.4%,34.6%,40,45.0%,52.4%,1.19,13:23
27,Karen Khachanov,RUS,6,1443,86.1%,22.8%,103,14.7%,22,3.1%,61.2%,77.7%,56.8%,69.6%,46,63.0%,36.1%,66,42.4%,52.4%,1.19,17:40
,Jenson Brooksby,USA,3,494,78.4%,37.8%,10,4.0%,8,3.2%,65.9%,68.7%,48.8%,61.9%,27,70.4%,44.2%,27,51.9%,53.2%,1.16,6:35
12,Pablo Carreno Busta,ESP,4,1028,85.2%,22.0%,30,6.0%,11,2.2%,67.0%,71.9%,57.6%,67.2%,40,70.0%,37.7%,39,46.2%,52.0%,1.15,12:38
18,Alex De Minaur,AUS,3,612,78.0%,33.3%,19,6.2%,18,5.9%,54.8%,72.5%,52.2%,63.3%,20,45.0%,42.0%,35,45.7%,52.6%,1.14,7:35
,J J Wolf,USA,3,612,80.0%,20.8%,40,13.3%,18,6.0%,63.7%,77.5%,47.7%,66.7%,28,64.3%,38.1%,33,30.3%,52.1%,1.14,6:58
,Brandon Nakashima,USA,3,634,85.4%,18.4%,28,8.9%,6,1.9%,62.4%,73.5%,52.5%,65.6%,27,74.1%,38.8%,33,27.3%,52.1%,1.13,7:55
,Benjamin Bonzi,FRA,2,578,82.2%,19.1%,14,5.0%,17,6.1%,59.5%,74.1%,52.2%,65.2%,19,57.9%,38.1%,22,40.9%,51.2%,1.10,6:28
,Alejandro Davidovich Fokina,ESP,4,1088,79.3%,26.4%,31,5.7%,20,3.7%,65.9%,70.9%,51.4%,64.2%,36,50.0%,39.0%,53,43.4%,51.6%,1.09,13:22
,David Goffin,BEL,1,360,73.1%,29.6%,9,4.9%,6,3.3%,52.7%,74.0%,46.5%,61.0%,19,63.2%,42.7%,18,44.4%,51.9%,1.09,4:36
22,Frances Tiafoe,USA,6,1440,82.8%,20.4%,91,12.4%,24,3.3%,50.0%,76.8%,54.6%,65.7%,57,64.9%,37.4%,58,39.7%,51.8%,1.09,18:52
9,Andrey Rublev,RUS,5,1244,85.6%,21.2%,59,9.6%,17,2.8%,59.7%,77.1%,48.8%,65.7%,41,65.9%,36.9%,40,52.5%,51.1%,1.08,14:34
,Roberto Carballes Baena,ESP,2,446,80.0%,25.0%,7,3.1%,7,3.1%,54.0%,67.2%,59.6%,63.7%,23,69.6%,39.1%,16,56.3%,51.6%,1.08,6:03
,Alejandro Tabilo,CHI,2,485,77.5%,30.8%,25,10.3%,14,5.8%,63.0%,74.5%,42.2%,62.6%,22,59.1%,40.5%,26,46.2%,51.5%,1.08,5:22
32,Miomir Kecmanovic,SRB,2,472,75.0%,27.8%,17,7.4%,7,3.1%,61.6%,70.9%,47.7%,62.0%,20,55.0%,41.2%,22,45.5%,51.3%,1.08,5:11
,Albert Ramos,ESP,2,397,86.7%,15.6%,4,2.2%,5,2.7%,68.6%,70.1%,58.6%,66.5%,17,76.5%,35.8%,16,31.3%,50.1%,1.07,5:00
,Aslan Karatsev,RUS,1,292,69.6%,26.1%,4,3.1%,4,3.1%,62.6%,64.6%,57.1%,61.8%,11,36.4%,40.4%,13,46.2%,50.0%,1.06,3:34
19,Denis Shapovalov,CAN,3,841,87.0%,19.7%,46,11.0%,32,7.7%,56.8%,81.0%,48.9%,67.1%,22,59.1%,34.9%,39,33.3%,50.9%,1.06,9:53
,Jordan Thompson,AUS,2,555,75.0%,22.7%,22,8.4%,5,1.9%,62.2%,74.2%,44.4%,63.0%,20,45.0%,39.2%,23,43.5%,50.5%,1.06,7:07
,Sebastian Korda,USA,2,552,76.7%,22.2%,23,8.6%,5,1.9%,66.7%,71.9%,47.2%,63.7%,24,58.3%,38.6%,29,34.5%,50.7%,1.06,6:39
,Marc Andrea Huesler,SUI,1,255,81.8%,13.6%,13,10.4%,6,4.8%,64.8%,75.3%,56.8%,68.8%,9,55.6%,33.1%,8,37.5%,50.6%,1.06,2:57
,Nuno Borges,POR,2,735,87.7%,10.7%,15,4.2%,9,2.5%,64.1%,68.3%,62.0%,66.0%,20,65.0%,35.6%,16,37.5%,50.5%,1.05,7:48
,Yibing Wu,CHN,3,702,81.5%,20.8%,21,5.9%,13,3.7%,62.0%,67.3%,55.6%,62.8%,28,64.3%,39.2%,34,32.4%,51.1%,1.05,7:14
,Daniel Elahi Galan,COL,3,812,77.0%,28.3%,18,4.4%,2,0.5%,63.2%,69.0%,46.0%,60.5%,34,58.8%,41.1%,39,43.6%,50.9%,1.04,9:55
,Brandon Holt,USA,2,596,83.0%,25.5%,21,6.7%,6,1.9%,61.1%,68.8%,51.6%,62.1%,26,69.2%,39.4%,25,48.0%,51.3%,1.04,6:49
,Zhizhen Zhang,CHN,1,334,85.2%,8.0%,22,14.0%,4,2.5%,66.9%,73.3%,55.8%,67.5%,14,71.4%,33.3%,13,15.4%,49.4%,1.03,3:53
21,Botic Van De Zandschulp,NED,2,544,78.6%,18.6%,35,13.5%,22,8.5%,57.5%,78.5%,41.8%,62.9%,16,43.8%,38.2%,23,34.8%,50.0%,1.03,7:09
,Richard Gasquet,FRA,3,660,74.0%,28.8%,19,5.8%,24,7.3%,55.2%,72.4%,45.6%,60.4%,30,56.7%,40.1%,29,51.7%,50.2%,1.01,8:20
,Alexander Bublik,KAZ,2,451,86.1%,19.4%,41,18.2%,22,9.8%,59.6%,79.1%,40.7%,63.6%,14,64.3%,36.7%,24,29.2%,50.1%,1.01,4:45
14,Diego Schwartzman,ARG,3,691,71.4%,28.0%,9,2.6%,19,5.6%,66.2%,64.4%,46.1%,58.2%,43,67.4%,41.9%,33,42.4%,49.9%,1.00,9:11
,Gijs Brouwer,NED,2,407,82.9%,14.7%,9,4.6%,7,3.6%,66.3%,76.2%,42.4%,64.8%,16,62.5%,35.1%,18,27.8%,49.4%,1.00,4:29
29,Tommy Paul,USA,3,893,81.1%,23.6%,22,4.7%,18,3.8%,60.9%,71.9%,49.7%,63.2%,42,66.7%,36.9%,30,56.7%,50.8%,1.00,10:51
,Jack Draper,GBR,3,533,86.4%,27.3%,31,10.8%,16,5.6%,48.4%,75.5%,54.1%,64.5%,22,72.7%,35.4%,23,52.2%,51.0%,1.00,7:02
,Pedro Cachin,ARG,3,884,74.3%,15.9%,38,9.0%,12,2.8%,60.6%,72.0%,50.3%,63.4%,36,50.0%,36.7%,39,28.2%,49.5%,1.00,10:48
,Alexei Popyrin,AUS,2,529,83.3%,16.2%,30,11.2%,19,7.1%,57.6%,73.5%,45.6%,61.7%,25,76.0%,38.5%,30,20.0%,50.3%,1.00,6:24
,Corentin Moutet,FRA,4,866,76.6%,23.2%,7,1.6%,13,3.0%,63.5%,64.1%,58.0%,61.9%,35,57.1%,38.3%,36,44.4%,50.0%,1.00,11:36
26,Lorenzo Musetti,ITA,3,807,75.4%,25.0%,13,3.2%,15,3.7%,60.6%,64.2%,55.7%,60.8%,34,52.9%,38.7%,35,45.7%,49.7%,0.99,9:52
,Ilya Ivashka,BLR,4,1050,73.8%,28.0%,21,3.8%,24,4.4%,59.8%,69.0%,48.0%,60.5%,54,59.3%,39.2%,44,52.3%,50.4%,0.99,12:21
,Soon Woo Kwon,KOR,2,401,77.4%,21.2%,12,6.1%,9,4.5%,57.1%,72.6%,48.2%,62.1%,12,41.7%,37.4%,15,46.7%,49.6%,0.99,4:59
6,Felix Auger Aliassime,CAN,2,424,85.3%,12.1%,26,11.8%,13,5.9%,67.3%,75.7%,44.4%,65.5%,22,77.3%,33.8%,11,36.4%,50.2%,0.98,5:33
,Joao Sousa,POR,2,482,75.7%,15.8%,11,4.7%,8,3.4%,53.4%,71.4%,52.7%,62.7%,25,64.0%,36.6%,18,33.3%,49.4%,0.98,5:56
,Mackenzie Mcdonald,USA,1,281,76.2%,28.6%,11,7.9%,8,5.8%,69.1%,67.7%,41.9%,59.7%,11,54.5%,39.4%,17,35.3%,49.5%,0.98,3:29
,Lorenzo Sonego,ITA,1,249,81.0%,22.7%,13,10.7%,3,2.5%,66.1%,75.0%,43.9%,64.5%,11,63.6%,34.4%,9,55.6%,49.0%,0.97,3:15
,John Millman,AUS,1,340,84.6%,20.8%,11,5.9%,7,3.8%,60.0%,67.6%,56.8%,63.2%,15,73.3%,34.8%,17,29.4%,50.3%,0.95,3:58
,Federico Coria,ARG,2,369,70.0%,21.4%,6,3.4%,10,5.6%,64.0%,65.8%,50.0%,60.1%,17,47.1%,37.7%,22,27.3%,48.5%,0.95,4:13
,Thiago Monteiro,BRA,2,433,79.5%,21.1%,26,11.5%,2,0.9%,63.4%,71.5%,53.0%,64.8%,25,68.0%,33.0%,14,57.1%,49.7%,0.94,5:38
,Marton Fucsovics,HUN,2,539,86.0%,19.5%,30,10.4%,23,8.0%,54.3%,71.3%,54.5%,63.7%,18,66.7%,34.0%,16,50.0%,49.9%,0.94,6:33
25,Borna Coric,CRO,2,546,77.5%,16.7%,22,8.2%,10,3.7%,63.8%,66.7%,54.6%,62.3%,20,55.0%,35.6%,29,24.1%,48.7%,0.94,7:11
,Jason Kubler,AUS,2,518,86.8%,17.5%,22,7.8%,9,3.2%,64.4%,71.8%,46.0%,62.6%,26,80.8%,34.6%,17,41.2%,49.8%,0.93,7:07
,Chun Hsin Tseng,TPE,1,226,77.8%,17.6%,5,4.9%,13,12.6%,50.5%,73.1%,45.1%,59.2%,12,66.7%,37.4%,8,37.5%,47.3%,0.92,2:42
,Tim Van Rijthoven,NED,2,571,87.2%,10.4%,46,15.5%,22,7.4%,56.4%,79.0%,54.3%,68.2%,21,71.4%,29.1%,21,23.8%,49.4%,0.92,6:41
,Jiri Lehecka,CZE,1,254,68.4%,22.7%,10,8.5%,9,7.6%,55.9%,66.7%,53.8%,61.0%,16,62.5%,36.0%,14,35.7%,47.6%,0.92,3:07
10,Taylor Fritz,USA,1,287,73.9%,18.2%,11,8.5%,4,3.1%,60.8%,70.9%,39.2%,58.5%,14,57.1%,38.2%,15,26.7%,47.4%,0.92,3:05
,Mikael Ymer,SWE,1,250,75.0%,10.0%,2,1.8%,1,0.9%,65.8%,67.1%,55.3%,63.1%,7,28.6%,33.8%,11,18.2%,46.8%,0.92,3:56
,Tomas Machac,CZE,1,323,84.6%,12.5%,8,4.7%,4,2.4%,55.3%,66.0%,59.2%,62.9%,13,69.2%,34.0%,8,37.5%,49.2%,0.92,4:10
28,Holger Rune,DEN,3,402,76.7%,16.7%,11,5.3%,20,9.6%,52.9%,61.8%,56.1%,59.1%,24,70.8%,37.1%,22,22.7%,48.5%,0.91,4:44
,Arthur Rinderknech,FRA,2,456,77.8%,15.2%,20,8.4%,10,4.2%,58.6%,72.1%,44.4%,60.7%,22,63.6%,35.9%,17,29.4%,48.9%,0.91,5:18
,Alexander Ritschard,SUI,1,244,77.8%,10.5%,10,8.6%,5,4.3%,56.9%,74.2%,46.0%,62.1%,8,50.0%,34.4%,12,16.7%,47.5%,0.91,3:05
,Enzo Couacaud,FRA,1,318,76.9%,19.2%,17,10.4%,4,2.5%,53.4%,69.0%,56.6%,63.2%,14,57.1%,33.5%,8,62.5%,48.7%,0.91,4:05
,Hugo Grenier,FRA,2,465,92.1%,15.0%,16,6.4%,12,4.8%,59.6%,81.2%,50.5%,68.8%,10,70.0%,27.9%,10,60.0%,49.9%,0.89,6:23
,Christopher Eubanks,USA,2,409,81.8%,15.6%,36,16.4%,13,5.9%,67.6%,74.3%,39.4%,63.0%,22,72.7%,32.6%,11,45.5%,48.9%,0.88,4:52
,Laslo Djere,SRB,1,323,73.1%,28.0%,16,8.9%,13,7.2%,58.9%,68.9%,45.9%,59.4%,13,46.2%,35.7%,16,43.8%,48.9%,0.88,3:41
,Jack Sock,USA,1,169,64.3%,28.6%,7,7.4%,7,7.4%,53.2%,70.0%,38.6%,55.3%,6,16.7%,38.7%,7,57.1%,47.9%,0.87,2:27
,Marcos Giron,USA,1,189,80.0%,5.9%,8,9.4%,4,4.7%,61.2%,78.8%,45.5%,65.9%,6,50.0%,29.8%,7,14.3%,46.0%,0.87,2:10
,Stan Wawrinka,SUI,1,154,83.3%,9.1%,6,7.4%,3,3.7%,55.6%,77.8%,41.7%,61.7%,7,71.4%,32.9%,1,100.0%,48.1%,0.86,2:00
,Sebastian Baez,ARG,1,184,61.5%,15.4%,1,1.2%,2,2.4%,71.4%,61.7%,41.7%,56.0%,13,61.5%,38.0%,10,20.0%,46.2%,0.86,2:30
,James Duckworth,AUS,2,468,81.6%,15.4%,22,8.5%,8,3.1%,55.0%,69.9%,53.8%,62.7%,19,63.2%,32.2%,9,66.7%,49.1%,0.86,5:43
,Fabio Fognini,ITA,2,478,61.5%,32.5%,14,5.4%,24,9.2%,58.1%,63.6%,42.2%,54.6%,27,44.4%,39.0%,21,61.9%,47.5%,0.86,6:17
,Bernabe Zapata Miralles,ESP,1,262,68.2%,21.7%,4,3.1%,2,1.5%,64.9%,60.0%,56.5%,58.8%,13,46.2%,35.1%,11,45.5%,46.9%,0.85,3:10
,Facundo Bagnis,ARG,1,268,65.2%,23.8%,4,3.1%,5,3.8%,65.4%,60.0%,51.1%,56.9%,16,50.0%,36.2%,13,38.5%,46.3%,0.84,3:21
,Pedro Martinez,ESP,1,214,75.0%,11.1%,3,2.9%,8,7.8%,71.6%,67.1%,44.8%,60.8%,7,42.9%,33.0%,10,20.0%,46.3%,0.84,2:28
,Ben Shelton,USA,1,367,92.9%,6.9%,22,11.5%,7,3.7%,60.7%,77.6%,45.3%,64.9%,6,66.7%,29.5%,4,50.0%,48.0%,0.84,4:02
,Alex Molcan,SVK,1,205,66.7%,15.8%,11,11.2%,4,4.1%,56.1%,74.5%,44.2%,61.2%,8,25.0%,32.7%,10,30.0%,46.3%,0.84,2:40
,Quentin Halys,FRA,1,267,73.7%,14.3%,19,14.1%,8,5.9%,56.3%,73.7%,39.0%,58.5%,14,64.3%,34.8%,5,60.0%,46.8%,0.84,3:07
,Aljaz Bedene,SLO,1,321,84.0%,19.2%,21,11.8%,8,4.5%,54.5%,76.3%,48.1%,63.5%,21,81.0%,30.8%,10,50.0%,48.9%,0.84,3:47
,Emilio Nava,USA,2,564,68.3%,14.0%,25,9.0%,15,5.4%,61.3%,68.4%,43.5%,58.8%,34,61.8%,34.4%,18,33.3%,46.5%,0.83,6:58
,Cristian Garin,CHI,2,463,68.4%,22.2%,8,3.2%,7,2.8%,57.7%,64.4%,51.4%,58.9%,31,61.3%,34.3%,18,44.4%,47.7%,0.83,5:43
,Peter Gojowczyk,GER,1,218,81.3%,0.0%,9,8.3%,6,5.5%,45.9%,64.0%,54.2%,58.7%,14,78.6%,33.9%,6,0.0%,46.3%,0.82,2:32
,Emil Ruusuvuori,FIN,1,151,64.3%,7.1%,5,7.6%,3,4.5%,66.7%,77.3%,31.8%,62.1%,5,0.0%,30.6%,4,25.0%,44.4%,0.81,2:01
,Fernando Verdasco,ESP,1,244,70.0%,5.3%,14,11.8%,4,3.4%,57.1%,67.6%,51.0%,60.5%,13,53.8%,32.0%,6,16.7%,45.9%,0.81,3:16
,Tomas Martin Etcheverry,ARG,1,206,77.8%,5.3%,7,7.1%,5,5.1%,60.2%,71.2%,59.0%,66.3%,6,33.3%,26.9%,2,50.0%,45.6%,0.80,2:58
,Hugo Gaston,FRA,1,175,66.7%,13.3%,1,1.1%,8,9.2%,51.7%,64.4%,45.2%,55.2%,12,58.3%,35.2%,6,33.3%,45.1%,0.79,1:45
,Christopher Oconnell,AUS,1,227,81.0%,5.3%,14,12.3%,7,6.1%,61.4%,78.6%,38.6%,63.2%,7,42.9%,29.2%,2,50.0%,46.3%,0.79,2:46
,Tallon Griekspoor,NED,1,183,66.7%,12.5%,7,7.9%,7,7.9%,51.7%,71.7%,48.8%,60.7%,8,37.5%,30.9%,7,28.6%,45.4%,0.78,2:03
30,Maxime Cressy,USA,1,189,73.3%,6.3%,7,7.8%,12,13.3%,48.9%,72.7%,52.2%,62.2%,8,50.0%,29.3%,3,33.3%,45.0%,0.78,2:25
,Sam Querrey,USA,1,273,75.0%,18.2%,19,13.1%,18,12.4%,60.7%,77.3%,29.8%,58.6%,16,68.8%,32.0%,12,33.3%,46.2%,0.77,2:42
,Dominic Thiem,AUT,1,251,60.0%,20.0%,12,8.9%,5,3.7%,58.5%,58.2%,51.8%,55.6%,19,57.9%,33.6%,9,44.4%,45.4%,0.76,3:18
4,Stefanos Tsitsipas,GRE,1,229,58.8%,11.8%,5,4.2%,4,3.3%,57.5%,60.9%,45.1%,54.2%,18,61.1%,34.9%,9,22.2%,45.0%,0.76,2:48
24,Francisco Cerundolo,ARG,1,185,46.7%,26.7%,2,2.0%,4,4.1%,59.2%,67.2%,25.0%,50.0%,14,42.9%,37.9%,5,80.0%,44.3%,0.76,2:42
,Yoshihito Nishioka,JPN,1,180,46.7%,26.7%,0,0.0%,3,3.2%,52.1%,57.1%,44.4%,51.1%,12,33.3%,37.2%,8,50.0%,44.4%,0.76,2:13
,Taro Daniel,JPN,1,231,65.0%,10.5%,16,13.2%,7,5.8%,55.4%,67.2%,48.1%,58.7%,10,30.0%,30.9%,5,40.0%,45.5%,0.75,3:16
