Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time,WinnerPeakRank
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,,Winner's peak ATP rank
F,3,(3)Novak Djokovic[SRB] [yr|ev],d.,5,(5)Andy Murray[GBR] [yr|ev],6-4 6-2 6-3,1.54,6.7%,64.0%,72.9%,55.6%,1/4,5.5%,54.1%,62.7%,32.0%,11/18,2:39,1
SF,5,(5)Andy Murray[GBR] [yr|ev],d.,7,(7)David Ferrer[ESP] [yr|ev],4-6 7-6(2) 6-1 7-6(2),1.08,6.0%,60.3%,74.7%,36.7%,13/18,3.5%,66.2%,60.6%,47.9%,5/11,3:46,1
SF,3,(3)Novak Djokovic[SRB] [yr|ev],d.,2,(2)Roger Federer[SUI] [yr|ev],7-6(3) 7-5 6-4,1.04,4.8%,68.8%,73.3%,41.0%,7/10,4.8%,59.0%,72.6%,46.5%,9/14,3:00,1
QF,7,(7)David Ferrer[ESP] [yr|ev],d.,1,(1)Rafael Nadal[ESP] [yr|ev],6-4 6-2 6-3,1.55,11.0%,68.5%,72.0%,56.5%,6/8,1.9%,66.3%,55.1%,37.1%,8/15,2:33,3
QF,5,(5)Andy Murray[GBR] [yr|ev],d.,46,Alexandr Dolgopolov[UKR] [yr|ev],7-5 6-3 6-7(3) 6-3,1.45,7.6%,58.5%,75.4%,61.2%,1/5,10.1%,58.2%,70.7%,34.8%,11/18,3:06,1
QF,3,(3)Novak Djokovic[SRB] [yr|ev],d.,6,(6)Tomas Berdych[CZE] [yr|ev],6-1 7-6(5) 6-1,1.49,11.0%,68.1%,82.3%,41.4%,1/2,6.3%,54.2%,71.2%,34.1%,5/10,2:32,1
QF,2,(2)Roger Federer[SUI] [yr|ev],d.,19,(19)Stan Wawrinka[SUI] [yr|ev],6-1 6-3 6-3,1.62,6.7%,77.3%,72.4%,76.5%,1/1,1.2%,58.0%,57.4%,55.9%,2/6,1:47,1
R16,1,(1)Rafael Nadal[ESP] [yr|ev],d.,15,(15)Marin Cilic[CRO] [yr|ev],6-2 6-4 6-3,1.46,3.5%,72.9%,79.0%,47.8%,2/2,8.0%,55.0%,76.4%,33.3%,9/14,2:31,1
R16,7,(7)David Ferrer[ESP] [yr|ev],d.,152,(Q)Milos Raonic[CAN] [yr|ev],4-6 6-2 6-3 6-4,1.38,2.7%,70.8%,77.5%,54.5%,7/9,11.8%,60.6%,64.9%,52.0%,9/14,2:36,3
R16,46,Alexandr Dolgopolov[UKR] [yr|ev],d.,4,(4)Robin Soderling[SWE] [yr|ev],1-6 6-3 6-1 4-6 6-2,1.27,10.5%,52.4%,78.2%,44.0%,3/9,4.3%,62.3%,59.3%,38.5%,8/17,2:36,13
R16,5,(5)Andy Murray[GBR] [yr|ev],d.,11,(11)Jurgen Melzer[AUT] [yr|ev],6-3 6-1 6-1,1.94,18.6%,57.1%,82.5%,56.7%,7/8,1.4%,65.3%,51.1%,32.0%,7/14,1:44,1
R16,6,(6)Tomas Berdych[CZE] [yr|ev],d.,9,(9)Fernando Verdasco[ESP] [yr|ev],6-4 6-2 6-3,2.51,16.7%,65.2%,88.4%,73.9%,0/1,12.7%,57.0%,68.9%,44.1%,8/13,1:58,4
R16,3,(3)Novak Djokovic[SRB] [yr|ev],d.,14,(14)Nicolas Almagro[ESP] [yr|ev],6-3 6-4 6-0,1.92,16.0%,74.7%,85.7%,47.4%,3/3,6.4%,59.0%,60.9%,43.8%,8/13,1:44,1
R16,19,(19)Stan Wawrinka[SUI] [yr|ev],d.,8,(8)Andy Roddick[USA] [yr|ev],6-3 6-4 6-4,1.83,30.4%,49.4%,92.3%,65.0%,3/3,8.0%,62.5%,71.4%,42.9%,10/13,2:22,3
R16,2,(2)Roger Federer[SUI] [yr|ev],d.,52,Tommy Robredo[ESP] [yr|ev],6-3 3-6 6-3 6-2,1.38,10.5%,69.5%,79.5%,59.4%,1/2,6.4%,62.4%,72.1%,48.8%,6/10,2:25,1
R32,1,(1)Rafael Nadal[ESP] [yr|ev],d.,199,(WC)Bernard Tomic[AUS] [yr|ev],6-2 7-5 6-3,1.22,4.1%,57.7%,67.9%,53.7%,6/8,10.7%,68.0%,60.0%,39.4%,12/19,2:30,1
R32,15,(15)Marin Cilic[CRO] [yr|ev],d.,20,(20)John Isner[USA] [yr|ev],4-6 6-2 6-7(5) 7-6(2) 9-7,1.12,11.8%,57.0%,76.4%,67.5%,10/11,14.1%,69.2%,75.8%,54.4%,6/9,4:33,3
R32,152,(Q)Milos Raonic[CAN] [yr|ev],d.,10,(10)Mikhail Youzhny[RUS] [yr|ev],6-4 7-5 4-6 6-4,1.23,24.8%,68.1%,71.4%,61.1%,1/5,2.6%,60.7%,63.4%,56.5%,2/8,2:46,3
R32,7,(7)David Ferrer[ESP] [yr|ev],d.,95,Ricardas Berankis[LTU] [yr|ev],6-2 6-2 6-1,2.33,8.8%,57.9%,87.9%,58.3%,0/1,1.1%,57.1%,50.0%,33.3%,11/19,1:31,3
R32,4,(4)Robin Soderling[SWE] [yr|ev],d.,241,(Q)Jan Hernych[CZE] [yr|ev],6-3 6-1 6-4,1.79,13.3%,60.0%,84.4%,53.3%,2/3,0.0%,65.2%,53.3%,43.8%,6/12,1:58,4
R32,46,Alexandr Dolgopolov[UKR] [yr|ev],d.,13,(13)Jo-Wilfried Tsonga[FRA] [yr|ev],3-6 6-3 3-6 6-1 6-1,1.27,8.4%,53.3%,78.9%,50.0%,5/10,5.2%,60.3%,71.4%,32.6%,6/15,2:19,13
R32,11,(11)Jurgen Melzer[AUT] [yr|ev],d.,22,(21)Marcos Baghdatis[CYP] [yr|ev],6-7(5) 6-2 6-1 4-3 RET,1.25,5.4%,67.9%,72.4%,55.6%,6/8,4.1%,61.9%,63.3%,51.4%,6/13,2:21,8
R32,5,(5)Andy Murray[GBR] [yr|ev],d.,32,(32)Guillermo Garcia Lopez[ESP] [yr|ev],6-1 6-1 6-2,1.88,17.2%,63.8%,78.4%,57.1%,1/2,4.3%,65.2%,57.8%,20.8%,3/11,1:22,1
R32,6,(6)Tomas Berdych[CZE] [yr|ev],d.,33,(28)Richard Gasquet[FRA] [yr|ev],6-2 7-6(3) 6-2,1.66,11.3%,71.3%,77.2%,65.2%,3/4,9.9%,54.5%,70.9%,39.1%,5/10,2:04,4
R32,9,(9)Fernando Verdasco[ESP] [yr|ev],d.,82,Kei Nishikori[JPN] [yr|ev],6-2 6-4 6-3,1.48,3.7%,72.8%,72.9%,59.1%,3/4,1.2%,68.7%,63.2%,34.6%,4/10,2:00,7
R32,14,(14)Nicolas Almagro[ESP] [yr|ev],d.,16,(17)Ivan Ljubicic[CRO] [yr|ev],6-4 7-6(8) 6-3,1.46,12.5%,62.5%,83.6%,72.7%,2/2,12.6%,55.2%,83.3%,53.8%,1/3,2:06,9
R32,3,(3)Novak Djokovic[SRB] [yr|ev],d.,27,(29)Viktor Troicki[SRB] [yr|ev],6-2 RET,1.52,4.5%,77.3%,58.8%,80.0%,0/1,5.3%,60.5%,65.2%,13.3%,3/6,0:40,1
R32,8,(8)Andy Roddick[USA] [yr|ev],d.,62,Robin Haase[NED] [yr|ev],2-6 7-6(2) 6-2 6-2,1.41,29.9%,69.2%,78.4%,54.5%,3/6,8.7%,61.7%,69.0%,43.2%,4/9,2:26,1
R32,19,(19)Stan Wawrinka[SUI] [yr|ev],d.,12,(12)Gael Monfils[FRA] [yr|ev],7-6(4) 6-2 6-3,1.43,11.6%,63.2%,75.0%,54.3%,4/6,2.5%,57.5%,60.9%,43.1%,15/21,2:35,3
R32,52,Tommy Robredo[ESP] [yr|ev],d.,43,Sergiy Stakhovsky[UKR] [yr|ev],5-7 6-2 6-4 6-2,1.19,2.2%,62.5%,64.7%,56.9%,15/19,1.6%,66.7%,62.2%,39.0%,6/14,3:04,5
R32,2,(2)Roger Federer[SUI] [yr|ev],d.,45,Xavier Malisse[BEL] [yr|ev],6-3 6-3 6-1,1.45,7.2%,60.2%,70.0%,51.5%,1/3,4.7%,60.0%,52.9%,35.3%,10/17,1:45,1
R64,1,(1)Rafael Nadal[ESP] [yr|ev],d.,116,(Q)Ryan Sweeting[USA] [yr|ev],6-2 6-1 6-1,2.01,10.9%,64.1%,82.9%,52.2%,1/2,2.6%,74.4%,44.8%,40.0%,7/15,1:42,1
R64,199,(WC)Bernard Tomic[AUS] [yr|ev],d.,31,(31)Feliciano Lopez[ESP] [yr|ev],7-6(4) 7-6(3) 6-3,1.17,9.7%,63.1%,81.5%,55.3%,6/8,22.0%,60.4%,70.9%,61.1%,2/5,2:09,17
R64,20,(20)John Isner[USA] [yr|ev],d.,66,Radek Stepanek[CZE] [yr|ev],4-6 6-4 6-2 6-1,1.40,20.2%,75.8%,78.7%,62.5%,7/8,3.4%,59.1%,73.1%,52.8%,2/7,2:09,8
R64,15,(15)Marin Cilic[CRO] [yr|ev],d.,59,Santiago Giraldo[COL] [yr|ev],6-3 7-6(1) 6-1,1.35,12.6%,46.6%,83.3%,60.0%,11/12,2.8%,67.6%,64.6%,52.2%,1/5,2:00,3
R64,10,(10)Mikhail Youzhny[RUS] [yr|ev],d.,98,(Q)Blaz Kavcic[SLO] [yr|ev],6-3 6-1 5-7 4-6 6-1,1.23,9.6%,57.5%,73.8%,54.8%,10/13,4.2%,61.5%,64.8%,47.3%,3/10,3:39,8
R64,152,(Q)Milos Raonic[CAN] [yr|ev],d.,24,(22)Michael Llodra[FRA] [yr|ev],7-6(3) 6-3 7-6(4),1.76,22.1%,65.3%,88.7%,66.7%,1/2,9.3%,61.1%,77.3%,50.0%,4/6,2:18,3
R64,95,Ricardas Berankis[LTU] [yr|ev],d.,21,(27)David Nalbandian[ARG] [yr|ev],6-1 6-0 2-0 RET,3.01,18.6%,58.1%,84.0%,72.2%,1/1,0.0%,63.0%,44.8%,23.5%,6/12,0:59,50
R64,7,(7)David Ferrer[ESP] [yr|ev],d.,100,Michael Russell[USA] [yr|ev],6-0 6-1 7-5,2.25,12.7%,61.9%,82.1%,70.8%,0/0,4.9%,57.3%,66.0%,28.6%,7/14,1:49,3
R64,4,(4)Robin Soderling[SWE] [yr|ev],d.,122,(Q)Gilles Muller[LUX] [yr|ev],6-3 7-6(1) 6-1,2.08,7.7%,57.7%,93.3%,66.7%,0/0,9.3%,60.0%,77.8%,40.0%,1/4,1:45,4
R64,241,(Q)Jan Hernych[CZE] [yr|ev],d.,30,(30)Thomaz Bellucci[BRA] [yr|ev],6-2 6-7(11) 6-4 6-7(3) 8-6,1.09,5.9%,70.4%,68.5%,43.3%,13/17,12.8%,62.8%,68.3%,39.7%,7/15,4:36,59
