Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time,WinnerPeakRank
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,,Winner's peak ATP rank
F,1,(1)Roger Federer[SUI] [yr|ev],d.,54,Marcos Baghdatis[CYP] [yr|ev],5-7 7-5 6-0 6-2,1.22,7.6%,53.5%,71.4%,50.7%,7/10,5.3%,48.2%,70.9%,37.3%,4/12,2:46,1
SF,1,(1)Roger Federer[SUI] [yr|ev],d.,25,(21)Nicolas Kiefer[GER] [yr|ev],6-3 5-7 6-0 6-2,1.49,6.6%,66.0%,71.4%,66.7%,3/4,11.5%,50.8%,71.0%,38.3%,13/19,2:40,1
SF,54,Marcos Baghdatis[CYP] [yr|ev],d.,4,(4)David Nalbandian[ARG] [yr|ev],3-6 5-7 6-3 6-4 6-4,1.06,9.7%,55.8%,69.8%,50.0%,10/17,3.5%,67.4%,63.2%,50.0%,5/13,3:27,8
QF,1,(1)Roger Federer[SUI] [yr|ev],d.,5,(5)Nikolay Davydenko[RUS] [yr|ev],6-4 3-6 7-6(7) 7-6(5),1.07,4.3%,61.9%,74.4%,52.8%,5/10,0.7%,77.1%,70.3%,42.4%,6/10,3:13,1
QF,25,(21)Nicolas Kiefer[GER] [yr|ev],d.,28,(25)Sebastien Grosjean[FRA] [yr|ev],6-3 0-6 6-4 6-7(1) 8-6,0.94,2.4%,45.1%,62.2%,51.1%,4/13,7.3%,50.9%,64.3%,53.1%,7/16,4:48,4
QF,4,(4)David Nalbandian[ARG] [yr|ev],d.,65,Fabrice Santoro[FRA] [yr|ev],7-5 6-0 6-0,2.13,3.1%,60.9%,74.4%,72.0%,2/3,5.3%,60.5%,58.7%,20.0%,7/15,1:41,3
QF,54,Marcos Baghdatis[CYP] [yr|ev],d.,8,(7)Ivan Ljubicic[CRO] [yr|ev],6-4 6-2 4-6 3-6 6-3,1.18,6.1%,52.7%,79.7%,59.7%,7/9,9.1%,63.6%,71.4%,53.6%,11/15,3:17,8
R16,1,(1)Roger Federer[SUI] [yr|ev],d.,41,Tommy Haas[GER] [yr|ev],6-4 6-0 3-6 4-6 6-2,1.20,7.6%,58.3%,77.9%,52.7%,7/9,3.6%,64.5%,62.9%,57.1%,5/11,2:58,1
R16,5,(5)Nikolay Davydenko[RUS] [yr|ev],d.,15,(12)Dominik Hrbaty[SVK] [yr|ev],4-6 4-6 6-4 6-2 6-3,1.09,3.8%,68.8%,59.1%,62.0%,8/14,4.7%,50.3%,72.0%,40.5%,4/12,3:30,3
R16,25,(21)Nicolas Kiefer[GER] [yr|ev],d.,51,Juan Ignacio Chela[ARG] [yr|ev],7-6(4) 6-3 6-3,1.22,5.3%,45.7%,83.7%,51.0%,7/9,2.1%,57.4%,63.0%,52.5%,2/7,2:22,4
R16,28,(25)Sebastien Grosjean[FRA] [yr|ev],d.,48,Paul Henri Mathieu[FRA] [yr|ev],7-5 6-2 6-2,1.52,16.7%,43.1%,93.5%,46.3%,1/4,3.4%,49.4%,52.3%,46.7%,6/14,2:07,4
R16,65,Fabrice Santoro[FRA] [yr|ev],d.,14,(11)David Ferrer[ESP] [yr|ev],6-4 7-5 7-5,1.19,6.4%,59.6%,62.5%,47.4%,7/14,0.0%,72.6%,53.2%,34.5%,8/18,2:13,17
R16,4,(4)David Nalbandian[ARG] [yr|ev],d.,19,(16)Tommy Robredo[ESP] [yr|ev],6-3 6-0 2-6 6-2,1.61,3.6%,65.5%,72.7%,65.5%,0/2,7.6%,68.1%,61.7%,31.6%,15/22,2:07,3
R16,8,(7)Ivan Ljubicic[CRO] [yr|ev],d.,13,(10)Thomas Johansson[SWE] [yr|ev],6-2 6-4 6-4,1.57,14.8%,53.1%,76.7%,71.1%,1/1,13.2%,46.2%,81.0%,40.8%,3/7,1:55,3
R16,54,Marcos Baghdatis[CYP] [yr|ev],d.,3,(2)Andy Roddick[USA] [yr|ev],6-4 1-6 6-3 6-4,0.93,12.8%,48.0%,71.7%,56.9%,7/9,13.9%,60.2%,73.8%,55.8%,7/10,2:32,8
R32,1,(1)Roger Federer[SUI] [yr|ev],d.,34,(30)Max Mirnyi[BLR] [yr|ev],6-3 6-4 6-3,2.34,8.6%,67.1%,78.7%,87.0%,1/1,4.6%,66.7%,69.4%,30.6%,11/15,1:49,1
R32,41,Tommy Haas[GER] [yr|ev],d.,139,(WC)Peter Luczak[AUS] [yr|ev],4-6 6-3 6-4 6-4,1.31,15.9%,60.2%,80.9%,62.2%,0/1,18.3%,60.0%,72.5%,54.3%,3/6,2:37,2
