Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time,WinnerPeakRank
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,,Winner's peak ATP rank
F,3,(2)Dominic Thiem[AUT] [yr|ev],d.,7,(5)Alexander Zverev[GER] [yr|ev],2-6 4-6 6-4 6-3 7-6(6),1.02,4.8%,62.4%,68.0%,48.4%,10/18,9.6%,64.3%,70.3%,41.1%,6/13,4:02,3
SF,7,(5)Alexander Zverev[GER] [yr|ev],d.,27,(20)Pablo Carreno Busta[ESP] [yr|ev],3-6 2-6 6-3 6-4 6-3,1.12,17.4%,62.3%,77.9%,36.5%,9/16,2.7%,71.1%,64.2%,41.9%,14/22,3:23,2
SF,3,(2)Dominic Thiem[AUT] [yr|ev],d.,5,(3)Daniil Medvedev[RUS] [yr|ev],6-2 7-6(7) 7-6(5),1.27,1.8%,58.8%,79.1%,55.3%,6/8,9.5%,58.7%,75.7%,40.4%,6/10,2:56,3
QF,27,(20)Pablo Carreno Busta[ESP] [yr|ev],d.,17,(12)Denis Shapovalov[CAN] [yr|ev],3-6 7-6(5) 7-6(4) 0-6 6-3,1.00,3.5%,70.8%,67.6%,54.8%,8/16,15.4%,61.5%,78.8%,40.0%,16/21,4:08,10
QF,7,(5)Alexander Zverev[GER] [yr|ev],d.,32,(27)Borna Coric[CRO] [yr|ev],1-6 7-6(5) 7-6(1) 6-3,0.99,12.8%,70.9%,76.0%,41.5%,11/15,3.9%,72.4%,69.6%,57.1%,5/8,3:25,2
QF,5,(3)Daniil Medvedev[RUS] [yr|ev],d.,14,(10)Andrey Rublev[RUS] [yr|ev],7-6(6) 6-3 7-6(5),1.45,16.5%,58.8%,89.5%,65.0%,0/0,10.0%,51.0%,78.4%,61.2%,0/1,2:27,1
QF,3,(2)Dominic Thiem[AUT] [yr|ev],d.,28,(21)Alex De Minaur[AUS] [yr|ev],6-1 6-2 6-4,1.44,12.4%,59.6%,83.0%,38.9%,5/7,1.3%,56.6%,48.8%,51.5%,6/13,2:04,3
R16,27,(20)Pablo Carreno Busta[ESP] [yr|ev],d.,1,(1)Novak Djokovic[SRB] [yr|ev],6-5 DEF,0.75,8.3%,66.7%,75.0%,50.0%,4/4,32.1%,71.4%,80.0%,62.5%,1/2,1:00,10
R16,17,(12)Denis Shapovalov[CAN] [yr|ev],d.,10,(7)David Goffin[BEL] [yr|ev],6-7(0) 6-3 6-4 6-3,1.28,10.0%,63.8%,75.9%,53.2%,6/7,1.9%,60.5%,68.4%,43.5%,11/16,3:30,10
R16,32,(27)Borna Coric[CRO] [yr|ev],d.,63,Jordan Thompson[AUS] [yr|ev],7-5 6-1 6-3,1.48,4.6%,71.3%,75.8%,48.0%,1/2,2.5%,55.0%,63.6%,38.9%,5/11,2:08,12
R16,7,(5)Alexander Zverev[GER] [yr|ev],d.,99,Alejandro Davidovich Fokina[ESP] [yr|ev],6-2 6-2 6-1,1.70,23.4%,66.2%,74.5%,50.0%,6/7,2.7%,70.7%,43.4%,40.9%,3/11,1:34,2
R16,14,(10)Andrey Rublev[RUS] [yr|ev],d.,8,(6)Matteo Berrettini[ITA] [yr|ev],4-6 6-3 6-3 6-3,1.25,7.7%,58.1%,85.3%,49.0%,7/8,4.5%,56.4%,71.0%,52.1%,5/9,2:42,5
R16,5,(3)Daniil Medvedev[RUS] [yr|ev],d.,82,Frances Tiafoe[USA] [yr|ev],6-4 6-1 6-0,1.90,11.7%,51.7%,71.0%,69.0%,0/1,1.4%,62.9%,54.5%,23.1%,3/11,1:38,1
