Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time,WinnerPeakRank
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,,Winner's peak ATP rank
F,3,(3)Roger Federer[SUI] [yr|ev],d.,4,(4)Andy Murray[GBR] [yr|ev],4-6 7-5 6-3 6-4,1.22,9.2%,68.7%,75.6%,48.8%,5/7,10.2%,56.1%,69.3%,47.8%,8/12,3:24,1
SF,3,(3)Roger Federer[SUI] [yr|ev],d.,1,(1)Novak Djokovic[SRB] [yr|ev],6-3 3-6 6-4 6-3,1.32,11.9%,64.4%,75.4%,72.2%,2/3,7.8%,63.5%,71.2%,57.1%,8/11,2:19,1
SF,4,(4)Andy Murray[GBR] [yr|ev],d.,6,(5)Jo-Wilfried Tsonga[FRA] [yr|ev],6-3 6-4 3-6 7-5,1.37,8.1%,60.4%,74.6%,63.6%,6/8,8.1%,63.0%,75.3%,32.0%,8/12,2:47,1
QF,1,(1)Novak Djokovic[SRB] [yr|ev],d.,29,(31)Florian Mayer[GER] [yr|ev],6-4 6-1 6-4,1.53,8.3%,65.5%,76.4%,58.6%,7/8,2.6%,57.1%,61.4%,45.5%,4/9,1:45,1
QF,3,(3)Roger Federer[SUI] [yr|ev],d.,33,(26)Mikhail Youzhny[RUS] [yr|ev],6-1 6-2 6-2,1.89,3.0%,62.1%,87.8%,52.0%,2/2,3.7%,64.6%,50.9%,51.7%,14/20,1:32,1
QF,4,(4)Andy Murray[GBR] [yr|ev],d.,5,(7)David Ferrer[ESP] [yr|ev],6-7(5) 7-6(6) 6-4 7-6(4),1.26,12.0%,61.3%,80.4%,58.6%,10/12,3.6%,67.9%,70.5%,52.8%,6/9,3:52,1
QF,6,(5)Jo-Wilfried Tsonga[FRA] [yr|ev],d.,30,(27)Philipp Kohlschreiber[GER] [yr|ev],7-6(5) 4-6 7-6(3) 6-2,1.24,13.5%,63.5%,80.0%,58.7%,3/5,7.4%,62.5%,70.6%,56.9%,7/10,2:48,5
R16,1,(1)Novak Djokovic[SRB] [yr|ev],d.,34,Viktor Troicki[SRB] [yr|ev],6-3 6-1 6-3,1.97,5.7%,75.7%,81.1%,52.9%,3/4,4.1%,57.5%,54.8%,41.9%,2/8,1:30,1
R16,29,(31)Florian Mayer[GER] [yr|ev],d.,19,(18)Richard Gasquet[FRA] [yr|ev],6-3 6-1 3-6 6-2,1.74,17.3%,60.5%,81.6%,68.8%,0/1,6.5%,75.9%,67.1%,34.6%,6/12,1:52,18
R16,3,(3)Roger Federer[SUI] [yr|ev],d.,75,Xavier Malisse[BEL] [yr|ev],7-6(1) 6-1 4-6 6-3,1.40,7.7%,70.1%,73.2%,57.1%,8/11,8.1%,71.2%,67.1%,28.1%,1/7,2:11,1
R16,33,(26)Mikhail Youzhny[RUS] [yr|ev],d.,39,Denis Istomin[UZB] [yr|ev],6-3 5-7 6-4 6-7(5) 7-5,0.84,6.4%,60.1%,71.7%,53.3%,11/14,10.9%,70.1%,79.6%,47.7%,3/8,4:16,8
R16,5,(7)David Ferrer[ESP] [yr|ev],d.,9,(9)Juan Martin del Potro[ARG] [yr|ev],6-3 6-2 6-3,1.80,5.3%,64.5%,75.5%,77.8%,4/4,7.3%,73.2%,63.3%,40.9%,3/8,1:58,3
R16,4,(4)Andy Murray[GBR] [yr|ev],d.,18,(16)Marin Cilic[CRO] [yr|ev],7-5 6-2 6-3,1.53,18.2%,68.2%,71.7%,71.4%,7/8,4.3%,58.7%,72.2%,34.2%,7/12,2:10,1
R16,6,(5)Jo-Wilfried Tsonga[FRA] [yr|ev],d.,12,(10)Mardy Fish[USA] [yr|ev],4-6 7-6(4) 6-4 6-4,0.83,12.7%,56.3%,75.3%,53.6%,9/11,14.5%,54.7%,85.9%,54.7%,5/8,3:18,5
R16,30,(27)Philipp Kohlschreiber[GER] [yr|ev],d.,126,(Q)Brian Baker[USA] [yr|ev],6-1 7-6(4) 6-3,1.11,22.3%,64.1%,80.3%,54.1%,5/5,9.1%,72.7%,73.2%,52.4%,0/3,1:55,16
R32,1,(1)Novak Djokovic[SRB] [yr|ev],d.,27,(28)Radek Stepanek[CZE] [yr|ev],4-6 6-2 6-2 6-2,1.73,12.5%,65.6%,79.4%,60.6%,4/5,5.6%,65.7%,60.6%,38.8%,14/20,2:49,1
