Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time,WinnerPeakRank
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,,Winner's peak ATP rank
F,3,(3)Novak Djokovic[SRB] [yr|ev],d.,4,(4)Casper Ruud[NOR] [yr|ev],7-6(1) 6-3 7-5,1.60,10.9%,73.3%,79.7%,63.0%,3/4,3.8%,64.2%,57.4%,65.8%,7/10,3:14,1
SF,3,(3)Novak Djokovic[SRB] [yr|ev],d.,1,(1)Carlos Alcaraz[ESP] [yr|ev],6-3 5-7 6-1 6-1,1.29,6.4%,70.4%,71.6%,43.2%,10/12,2.9%,71.8%,54.1%,48.3%,5/12,3:24,1
SF,4,(4)Casper Ruud[NOR] [yr|ev],d.,27,(22)Alexander Zverev[GER] [yr|ev],6-3 6-4 6-0,1.33,5.6%,61.8%,70.9%,52.9%,8/9,4.3%,68.1%,55.3%,45.5%,4/10,2:09,2
QF,1,(1)Carlos Alcaraz[ESP] [yr|ev],d.,5,(5)Stefanos Tsitsipas[GRE] [yr|ev],6-2 6-1 7-6(5),1.97,8.0%,77.3%,79.3%,64.7%,1/2,5.3%,58.9%,60.7%,41.0%,6/12,2:13,1
QF,3,(3)Novak Djokovic[SRB] [yr|ev],d.,11,(11)Karen Khachanov[RUS] [yr|ev],4-6 7-6(0) 6-2 6-4,1.34,8.3%,59.1%,76.9%,59.3%,8/10,5.3%,56.4%,65.3%,51.7%,4/8,3:39,1
QF,4,(4)Casper Ruud[NOR] [yr|ev],d.,6,(6)Holger Rune[DEN] [yr|ev],6-1 6-2 3-6 6-3,1.32,4.5%,62.7%,72.5%,58.5%,6/7,0.9%,54.0%,63.9%,48.1%,8/13,2:45,2
QF,27,(22)Alexander Zverev[GER] [yr|ev],d.,49,Tomas Martin Etcheverry[ARG] [yr|ev],6-4 3-6 6-3 6-4,1.10,6.0%,67.2%,75.6%,39.5%,6/9,6.9%,62.1%,72.2%,40.9%,6/11,3:22,2
R16,1,(1)Carlos Alcaraz[ESP] [yr|ev],d.,18,(17)Lorenzo Musetti[ITA] [yr|ev],6-3 6-2 6-2,1.68,7.8%,72.7%,76.8%,47.6%,5/7,2.3%,59.1%,50.0%,44.4%,7/14,2:09,1
R16,5,(5)Stefanos Tsitsipas[GRE] [yr|ev],d.,118,(Q)Sebastian Ofner[AUT] [yr|ev],7-5 6-3 6-0,1.53,3.6%,71.1%,76.3%,54.2%,2/3,5.3%,53.9%,65.9%,40.0%,5/11,1:48,3
R16,3,(3)Novak Djokovic[SRB] [yr|ev],d.,94,Juan Pablo Varillas[PER] [yr|ev],6-3 6-2 6-2,1.94,10.0%,80.0%,83.9%,35.7%,2/3,4.2%,65.3%,53.2%,44.0%,6/12,1:57,1
R16,11,(11)Karen Khachanov[RUS] [yr|ev],d.,48,Lorenzo Sonego[ITA] [yr|ev],1-6 6-4 7-6(7) 6-1,1.09,9.1%,57.6%,75.0%,50.0%,10/14,6.6%,61.2%,68.9%,48.9%,8/12,3:30,8
R16,6,(6)Holger Rune[DEN] [yr|ev],d.,23,(23)Francisco Cerundolo[ARG] [yr|ev],7-6(3) 3-6 6-4 1-6 7-6(7),0.90,4.6%,59.0%,65.7%,54.9%,13/20,3.0%,66.3%,67.3%,60.7%,4/8,3:59,4
R16,4,(4)Casper Ruud[NOR] [yr|ev],d.,35,Nicolas Jarry[CHI] [yr|ev],7-6(3) 7-5 7-5,1.17,7.9%,63.5%,71.3%,50.0%,14/17,8.2%,66.4%,66.3%,40.0%,8/13,3:20,2
R16,27,(22)Alexander Zverev[GER] [yr|ev],d.,29,(28)Grigor Dimitrov[BUL] [yr|ev],6-1 6-4 6-3,1.47,4.3%,65.2%,78.3%,34.4%,14/16,0.0%,55.4%,60.9%,27.0%,8/15,2:18,2
R16,49,Tomas Martin Etcheverry[ARG] [yr|ev],d.,33,(27)Yoshihito Nishioka[JPN] [yr|ev],7-6(8) 6-0 6-1,1.65,14.1%,92.9%,72.2%,66.7%,4/5,4.1%,84.9%,53.2%,54.5%,3/9,2:04,27
R32,1,(1)Carlos Alcaraz[ESP] [yr|ev],d.,32,(26)Denis Shapovalov[CAN] [yr|ev],6-1 6-4 6-2,1.63,0.0%,72.5%,65.5%,68.2%,4/6,0.0%,56.3%,51.0%,36.8%,9/16,2:11,1
R32,18,(17)Lorenzo Musetti[ITA] [yr|ev],d.,13,(14)Cameron Norrie[GBR] [yr|ev],6-1 6-2 6-4,1.59,2.6%,61.5%,83.3%,46.7%,2/3,2.1%,65.6%,54.0%,45.5%,12/18,2:09,11
R32,118,(Q)Sebastian Ofner[AUT] [yr|ev],d.,130,Fabio Fognini[ITA] [yr|ev],5-7 6-3 7-5 1-6 6-4,0.99,3.4%,59.7%,60.7%,40.0%,7/19,0.6%,62.4%,56.3%,46.8%,16/28,3:55,37
R32,5,(5)Stefanos Tsitsipas[GRE] [yr|ev],d.,95,Diego Schwartzman[ARG] [yr|ev],6-2 6-2 6-3,1.64,7.1%,61.9%,69.2%,65.6%,4/5,1.1%,67.8%,54.2%,32.1%,12/18,2:04,3
R32,3,(3)Novak Djokovic[SRB] [yr|ev],d.,34,(29)Alejandro Davidovich Fokina[ESP] [yr|ev],7-6(4) 7-6(5) 6-2,1.14,0.9%,64.9%,64.9%,40.0%,3/8,2.5%,67.5%,50.6%,48.7%,10/17,3:36,1
R32,94,Juan Pablo Varillas[PER] [yr|ev],d.,14,(13)Hubert Hurkacz[POL] [yr|ev],3-6 6-3 7-6(3) 4-6 6-2,1.20,4.8%,59.6%,70.1%,69.5%,4/7,5.4%,60.4%,76.7%,44.1%,3/7,3:52,60
R32,11,(11)Karen Khachanov[RUS] [yr|ev],d.,108,(WC)Thanasi Kokkinakis[AUS] [yr|ev],6-4 6-1 3-6 7-6(5),1.23,4.2%,64.2%,64.9%,67.4%,4/7,4.3%,57.2%,68.4%,44.1%,12/17,3:43,8
R32,48,Lorenzo Sonego[ITA] [yr|ev],d.,7,(7)Andrey Rublev[RUS] [yr|ev],5-7 0-6 6-3 7-6(5) 6-3,0.90,5.1%,66.9%,72.4%,46.2%,5/11,6.7%,54.1%,75.3%,58.1%,5/9,3:43,21
R32,6,(6)Holger Rune[DEN] [yr|ev],d.,231,(Q)Genaro Alberto Olivieri[ARG] [yr|ev],6-4 6-1 6-3,1.58,5.1%,73.1%,70.2%,47.6%,5/8,2.4%,66.3%,52.7%,25.0%,12/20,1:59,4
R32,23,(23)Francisco Cerundolo[ARG] [yr|ev],d.,8,(9)Taylor Fritz[USA] [yr|ev],3-6 6-3 6-4 7-5,0.99,0.7%,82.1%,64.5%,50.0%,11/15,7.6%,79.0%,68.1%,40.0%,15/21,2:50,19
R32,35,Nicolas Jarry[CHI] [yr|ev],d.,75,Marcos Giron[USA] [yr|ev],6-2 6-3 6-7(7) 6-3,1.72,13.4%,68.8%,84.4%,57.1%,1/2,4.7%,70.3%,68.9%,34.2%,2/7,2:55,16
R32,4,(4)Casper Ruud[NOR] [yr|ev],d.,71,Zhizhen Zhang[CHN] [yr|ev],4-6 6-4 6-1 6-4,1.16,5.2%,73.3%,70.6%,48.4%,7/10,6.0%,80.0%,57.5%,65.0%,5/11,2:36,2
R32,29,(28)Grigor Dimitrov[BUL] [yr|ev],d.,79,Daniel Altmaier[GER] [yr|ev],6-4 6-3 6-1,1.52,5.1%,51.3%,75.0%,55.3%,5/7,4.1%,64.9%,54.2%,34.6%,4/10,2:07,3
R32,27,(22)Alexander Zverev[GER] [yr|ev],d.,12,(12)Frances Tiafoe[USA] [yr|ev],3-6 7-6(3) 6-1 7-6(5),1.19,9.0%,64.6%,71.0%,49.0%,5/10,2.3%,71.2%,64.9%,34.2%,9/14,3:42,2
R32,49,Tomas Martin Etcheverry[ARG] [yr|ev],d.,16,(15)Borna Coric[CRO] [yr|ev],6-3 7-6(5) 6-2,1.48,4.3%,58.5%,81.8%,51.3%,5/7,3.8%,57.1%,71.7%,31.1%,12/17,3:02,27
R32,33,(27)Yoshihito Nishioka[JPN] [yr|ev],d.,172,(Q)Thiago Seyboth Wild[BRA] [yr|ev],3-6 7-6(8) 2-6 6-4 6-0,0.96,1.3%,70.5%,64.8%,47.7%,3/8,6.3%,60.8%,65.6%,54.8%,10/16,3:39,24
R64,1,(1)Carlos Alcaraz[ESP] [yr|ev],d.,112,Taro Daniel[JPN] [yr|ev],6-1 3-6 6-1 6-2,1.65,2.3%,72.1%,72.6%,62.5%,1/3,0.0%,65.6%,55.9%,38.7%,4/11,2:26,1
R64,32,(26)Denis Shapovalov[CAN] [yr|ev],d.,106,Matteo Arnaldi[ITA] [yr|ev],6-2 3-6 6-3 6-3,1.37,1.9%,58.7%,70.5%,62.8%,0/1,1.5%,55.2%,51.4%,60.0%,11/16,2:56,10
R64,18,(17)Lorenzo Musetti[ITA] [yr|ev],d.,87,Alexander Shevchenko[KAZ] [yr|ev],6-1 6-1 6-2,2.20,1.6%,59.7%,73.0%,80.0%,3/3,1.3%,63.6%,55.1%,32.1%,5/12,1:39,11
