Entry,Player,Cty,M,Pts,Hld%,Brk%,A,Ace%,DF,DF%,1stIn,1st%,2nd%,SPW,BPFaced,BPSvd%,RPW,BPEarned,BPConv%,TPW,DR,Time
Seed or method of entry (Q/LL/WC/etc),,Country,Matches played,Total points played,Hold percentage,Break percentage,Aces,Ace rate,Double faults,Double fault rate,First serve percentage,First serve points won,Second serve points won,Service points won,Total break points faced,Percentage of break points saved,Return points won,Total break points generated,,Total points won,"Dominance Ratio: % of return points won
divided by % of serve points lost.",
1,Carlos Alcaraz,ESP,6,1066,82.4%,42.9%,20,4.0%,11,2.2%,71.3%,68.8%,60.6%,66.5%,34,55.9%,48.0%,83,43.4%,56.6%,1.43,14:21
3,Novak Djokovic,SRB,7,1459,85.2%,38.5%,50,6.9%,22,3.0%,66.3%,73.7%,53.5%,66.9%,54,70.4%,46.1%,83,48.2%,56.4%,1.39,21:01
9,Taylor Fritz,USA,3,601,82.0%,30.6%,31,11.2%,7,2.5%,68.1%,75.0%,55.7%,68.8%,25,64.0%,42.2%,45,33.3%,54.4%,1.35,7:12
,Tomas Martin Etcheverry,ARG,5,885,84.1%,31.3%,27,6.2%,6,1.4%,67.7%,74.4%,52.1%,67.2%,35,68.6%,43.8%,52,38.5%,55.3%,1.34,12:20
17,Lorenzo Musetti,ITA,4,667,80.4%,41.2%,10,3.3%,7,2.3%,59.4%,70.6%,57.7%,65.3%,22,54.5%,45.6%,57,36.8%,54.6%,1.32,8:32
7,Andrey Rublev,RUS,3,761,84.7%,28.3%,22,6.3%,10,2.8%,57.4%,74.3%,57.3%,67.0%,22,59.1%,40.8%,38,44.7%,53.0%,1.24,9:14
8,Jannik Sinner,ITA,2,531,87.5%,31.6%,16,6.2%,5,1.9%,58.4%,73.3%,56.1%,66.1%,11,54.5%,41.6%,31,38.7%,53.5%,1.23,7:12
22,Alexander Zverev,GER,6,1226,81.7%,29.3%,43,7.0%,38,6.1%,65.9%,72.2%,48.3%,64.1%,61,72.1%,43.4%,70,38.6%,53.8%,1.21,16:13
,Marcos Giron,USA,3,563,83.7%,31.9%,16,5.9%,7,2.6%,64.7%,76.1%,45.8%,65.4%,13,46.2%,41.2%,23,65.2%,52.9%,1.19,6:37
5,Stefanos Tsitsipas,GRE,5,925,83.1%,31.1%,32,6.8%,18,3.8%,66.2%,74.1%,51.9%,66.6%,30,56.7%,39.8%,51,45.1%,53.5%,1.19,11:36
4,Casper Ruud,NOR,7,1464,86.2%,31.6%,36,4.9%,19,2.6%,63.3%,68.3%,58.7%,64.8%,64,75.0%,41.0%,80,45.0%,53.0%,1.17,19:17
16,Tommy Paul,USA,2,411,81.8%,21.9%,4,2.1%,7,3.6%,68.6%,70.7%,59.0%,67.0%,13,53.8%,38.7%,26,26.9%,52.1%,1.17,4:54
28,Grigor Dimitrov,BUL,4,696,74.1%,40.4%,19,5.4%,15,4.2%,55.5%,70.4%,46.5%,59.8%,36,61.1%,46.6%,51,41.2%,53.3%,1.16,9:09
,Nicolas Jarry,CHI,4,935,88.7%,24.6%,42,8.9%,13,2.8%,65.3%,74.4%,51.8%,66.5%,36,77.8%,38.4%,45,37.8%,52.6%,1.15,11:47
,Fabio Fognini,ITA,3,678,63.0%,49.1%,8,2.3%,16,4.6%,62.1%,60.6%,48.9%,56.1%,42,52.4%,49.8%,38,71.1%,53.1%,1.14,8:30
29,Alejandro Davidovich Fokina,ESP,3,661,75.0%,36.0%,7,2.2%,8,2.5%,67.9%,64.7%,49.5%,59.8%,28,57.1%,45.0%,31,58.1%,52.2%,1.12,9:01
19,Roberto Bautista Agut,ESP,2,467,69.7%,36.4%,3,1.5%,5,2.5%,60.2%,68.6%,45.0%,59.2%,24,58.3%,45.5%,35,34.3%,51.4%,1.12,6:03
23,Francisco Cerundolo,ARG,4,1036,80.0%,36.4%,16,3.1%,20,3.9%,72.3%,65.7%,53.1%,62.2%,46,67.4%,42.3%,69,40.6%,52.2%,1.12,12:09
11,Karen Khachanov,RUS,5,1234,80.4%,27.0%,45,7.6%,12,2.0%,61.4%,69.3%,54.1%,63.5%,42,57.1%,40.9%,74,32.4%,51.8%,1.12,16:52
,Luca Van Assche,FRA,2,380,85.2%,29.6%,3,1.7%,6,3.3%,56.4%,66.7%,58.2%,63.0%,13,69.2%,40.7%,14,57.1%,51.3%,1.10,4:35
14,Cameron Norrie,GBR,3,650,71.4%,32.7%,9,2.7%,6,1.8%,73.5%,63.1%,52.9%,60.4%,45,68.9%,43.8%,38,42.1%,52.2%,1.10,7:27
12,Frances Tiafoe,USA,3,679,84.6%,28.3%,28,8.3%,6,1.8%,62.1%,74.8%,46.1%,63.9%,28,71.4%,39.6%,31,48.4%,51.7%,1.10,8:35
31,Miomir Kecmanovic,SRB,1,425,82.1%,28.6%,4,2.0%,3,1.5%,60.4%,65.5%,57.7%,62.4%,10,50.0%,41.2%,26,30.8%,51.1%,1.10,5:11
,Brandon Nakashima,USA,1,291,84.0%,12.0%,4,2.8%,5,3.5%,69.7%,73.7%,55.8%,68.3%,11,63.6%,34.2%,11,27.3%,50.9%,1.08,3:47
,Zhizhen Zhang,CHN,3,500,77.5%,30.0%,12,4.8%,7,2.8%,70.1%,64.8%,54.7%,61.8%,19,52.6%,41.4%,27,44.4%,51.6%,1.08,5:56
,Albert Ramos,ESP,1,376,84.0%,19.2%,7,3.8%,2,1.1%,64.1%,72.9%,51.5%,65.2%,17,76.5%,37.5%,15,33.3%,51.1%,1.08,4:36
Q,Aslan Karatsev,RUS,2,447,81.6%,25.0%,19,8.5%,11,4.9%,62.3%,74.8%,52.4%,66.4%,19,63.2%,36.2%,25,36.0%,51.2%,1.08,5:42
,Sebastian Baez,ARG,1,306,64.0%,37.5%,1,0.7%,4,2.9%,72.1%,58.4%,53.8%,57.1%,17,47.1%,46.4%,20,45.0%,51.3%,1.08,3:48
,Corentin Moutet,FRA,2,482,83.3%,19.4%,7,3.0%,9,3.8%,62.3%,68.0%,57.3%,64.0%,19,68.4%,39.0%,21,33.3%,51.2%,1.08,6:22
,Juan Pablo Varillas,PER,4,981,76.6%,25.6%,23,4.7%,6,1.2%,57.6%,67.9%,55.8%,62.8%,44,59.1%,40.0%,42,47.6%,51.3%,1.07,13:03
,Jordan Thompson,AUS,1,217,84.2%,15.0%,6,5.9%,2,2.0%,54.5%,80.0%,58.7%,70.3%,5,40.0%,31.9%,9,33.3%,49.8%,1.07,2:52
,Marton Fucsovics,HUN,2,423,64.3%,33.3%,7,3.4%,11,5.3%,64.6%,69.2%,46.6%,61.2%,17,41.2%,41.5%,24,37.5%,51.1%,1.07,5:59
,Emil Ruusuvuori,FIN,2,555,72.5%,32.5%,20,7.2%,7,2.5%,60.2%,67.9%,49.5%,60.6%,29,62.1%,41.7%,29,44.8%,51.2%,1.06,7:04
