Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time,WinnerPeakRank
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,,Winner's peak ATP rank
F,2,(2)Rafael Nadal[ESP] [yr|ev],d.,1,(1)Roger Federer[SUI] [yr|ev],1-6 6-1 6-4 7-6(4),1.20,2.7%,76.6%,69.4%,65.4%,7/10,6.7%,60.5%,68.1%,53.2%,8/12,3:02,1
SF,1,(1)Roger Federer[SUI] [yr|ev],d.,3,(3)David Nalbandian[ARG] [yr|ev],3-6 6-4 5-2 RET,1.13,5.6%,56.9%,78.0%,48.4%,2/5,1.4%,66.2%,57.1%,68.0%,4/8,1:38,1
SF,2,(2)Rafael Nadal[ESP] [yr|ev],d.,4,(4)Ivan Ljubicic[CRO] [yr|ev],6-4 6-2 7-6(7),1.35,7.4%,68.4%,78.5%,56.7%,1/2,9.6%,58.7%,68.9%,51.2%,5/9,2:49,1
QF,1,(1)Roger Federer[SUI] [yr|ev],d.,12,(12)Mario Ancic[CRO] [yr|ev],6-4 6-3 6-4,1.32,3.8%,62.5%,66.2%,71.8%,8/9,3.0%,64.0%,70.3%,36.1%,14/18,2:17,1
QF,3,(3)David Nalbandian[ARG] [yr|ev],d.,6,(6)Nikolay Davydenko[RUS] [yr|ev],6-3 6-3 2-6 6-4,1.12,7.1%,58.9%,66.7%,56.5%,6/10,7.0%,72.1%,63.4%,44.4%,15/21,2:46,3
QF,4,(4)Ivan Ljubicic[CRO] [yr|ev],d.,95,Julien Benneteau[FRA] [yr|ev],6-2 6-2 6-3,1.56,14.0%,57.0%,69.8%,52.5%,7/10,1.4%,57.1%,42.5%,40.0%,1/9,2:13,3
QF,2,(2)Rafael Nadal[ESP] [yr|ev],d.,63,Novak Djokovic[SRB] [yr|ev],6-4 6-4 RET,1.44,5.1%,79.7%,63.8%,58.3%,3/6,3.0%,73.1%,55.1%,22.2%,2/7,1:54,1
R16,1,(1)Roger Federer[SUI] [yr|ev],d.,20,(20)Tomas Berdych[CZE] [yr|ev],6-3 6-2 6-3,1.48,11.4%,63.3%,76.0%,55.2%,2/3,7.6%,58.7%,72.2%,26.3%,10/16,1:47,1
R16,12,(12)Mario Ancic[CRO] [yr|ev],d.,7,(7)Tommy Robredo[ESP] [yr|ev],6-4 4-6 2-6 6-4 7-5,0.95,5.4%,60.5%,68.5%,51.7%,4/9,2.1%,77.8%,66.1%,56.3%,5/10,3:49,7
R16,3,(3)David Nalbandian[ARG] [yr|ev],d.,181,(Q)Martin Vassallo Arguello[ARG] [yr|ev],6-4 6-4 6-4,1.20,1.1%,62.8%,66.1%,54.3%,4/7,6.3%,80.2%,54.5%,52.6%,4/10,2:10,3
