Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time,WinnerPeakRank
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,,Winner's peak ATP rank
F,5,(3)Roger Federer[SUI] [yr|ev],d.,6,(7)Marin Cilic[CRO] [yr|ev],6-3 6-1 6-4,2.13,11.4%,75.7%,81.1%,70.6%,1/1,5.6%,60.0%,64.8%,38.9%,5/10,1:41,1
SF,6,(7)Marin Cilic[CRO] [yr|ev],d.,28,(24)Sam Querrey[USA] [yr|ev],6-7(6) 6-4 7-6(3) 7-5,1.83,20.8%,65.0%,88.5%,66.7%,1/3,8.6%,64.2%,74.2%,48.1%,10/14,2:56,3
SF,5,(3)Roger Federer[SUI] [yr|ev],d.,15,(11)Tomas Berdych[CZE] [yr|ev],7-6(4) 7-6(4) 6-4,1.51,12.4%,66.7%,84.3%,60.0%,5/6,7.0%,61.7%,68.4%,57.1%,7/9,2:18,1
QF,28,(24)Sam Querrey[USA] [yr|ev],d.,1,(1)Andy Murray[GBR] [yr|ev],3-6 6-4 6-7(4) 6-1 6-1,1.47,23.3%,63.8%,83.8%,54.8%,4/7,6.1%,62.1%,73.2%,40.0%,4/12,2:41,11
QF,6,(7)Marin Cilic[CRO] [yr|ev],d.,26,(16)Gilles Muller[LUX] [yr|ev],3-6 7-6(6) 7-5 5-7 6-1,1.03,21.0%,65.0%,84.3%,47.3%,4/7,11.7%,65.5%,80.0%,52.0%,7/10,3:29,3
QF,5,(3)Roger Federer[SUI] [yr|ev],d.,7,(6)Milos Raonic[CAN] [yr|ev],6-4 6-2 7-6(4),1.71,12.4%,68.5%,90.2%,53.6%,5/5,11.5%,72.9%,71.4%,42.3%,3/6,1:57,1
QF,15,(11)Tomas Berdych[CZE] [yr|ev],d.,4,(2)Novak Djokovic[SRB] [yr|ev],7-6(2) 2-0 RET,1.60,2.2%,58.7%,92.6%,52.6%,0/0,2.1%,83.0%,64.1%,50.0%,0/1,1:03,4
R16,1,(1)Andy Murray[GBR] [yr|ev],d.,46,Benoit Paire[FRA] [yr|ev],7-6(1) 6-4 6-4,1.38,4.0%,70.7%,67.1%,69.0%,8/11,7.3%,53.7%,65.2%,43.9%,11/16,2:21,1
R16,28,(24)Sam Querrey[USA] [yr|ev],d.,42,Kevin Anderson[RSA] [yr|ev],5-7 7-6(5) 6-3 6-7(11) 6-3,0.97,17.9%,66.5%,82.6%,58.6%,6/7,21.2%,72.6%,84.9%,50.0%,1/3,3:06,11
R16,26,(16)Gilles Muller[LUX] [yr|ev],d.,2,(4)Rafael Nadal[ESP] [yr|ev],6-3 6-4 3-6 4-6 15-13,0.83,14.2%,62.7%,79.7%,48.1%,14/16,13.0%,67.2%,79.8%,60.3%,5/8,4:48,21
